Source File Name:	t4
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Ref1 Force - Samples

Time	Time Signal
[ s ]	[ N ]
0	6.590098
0.0001	22.77367
0.0002	34.72679
0.0003	43.00101
0.0004	49.43576
0.0005	51.33921
0.0006	51.02048
0.0007	48.94476
0.0008	44.9378
0.0009	41.71255
0.001	35.0581
0.0011	28.6873
0.0012	25.46905
0.0013	23.50561
0.0014	12.74885
0.0015	2.02569
0.0016	0.2425497
0.0017	-0.5386751
0.0018	-0.1085999
0.0019	-0.2400921
0.002	0.1775879
0.0021	0.1362126
0.0022	0.2033009
0.0023	0.09789769
0.0024	0.06106873
0.0025	-0.05520167
0.0026	-0.1312005
0.0027	-0.1715556
0.0028	-0.2336861
0.0029	-0.3092411
0.003	-0.2646075
0.0031	-0.1848978
0.0032	-0.1097302
0.0033	-0.05435663
0.0034	0.002745488
0.0035	-0.00689303
0.0036	-0.03689565
0.0037	-0.04660559
0.0038	-0.08439722
0.0039	-0.1352763
0.004	-0.1699148
0.0041	-0.17896
0.0042	-0.1890478
0.0043	-0.1943691
0.0044	-0.1644642
0.0045	-0.1312423
0.0046	-0.1202955
0.0047	-0.09967637
0.0048	-0.07805902
0.0049	-0.08772104
0.005	-0.09948181
0.0051	-0.1041453
0.0052	-0.1207965
0.0053	-0.1402486
0.0054	-0.1503302
0.0055	-0.1557287
0.0056	-0.1583768
0.0057	-0.159365
0.0058	-0.1496818
0.0059	-0.1407014
0.006	-0.1384882
0.0061	-0.1306901
0.0062	-0.1271578
0.0063	-0.136746
0.0064	-0.1408944
0.0065	-0.146562
0.0066	-0.1577693
0.0067	-0.1647796
0.0068	-0.1733957
0.0069	-0.1804576
0.007	-0.1840345
0.0071	-0.1868296
0.0072	-0.1863553
0.0073	-0.1874695
0.0074	-0.1928685
0.0075	-0.1934384
0.0076	-0.1964034
0.0077	-0.2061706
0.0078	-0.2111107
0.0079	-0.21788
0.008	-0.2264466
0.0081	-0.2321743
0.0082	-0.2389647
0.0083	-0.2440317
0.0084	-0.248219
0.0085	-0.2526754
0.0086	-0.2556471
0.0087	-0.2595794
0.0088	-0.2639762
0.0089	-0.264283
0.009	-0.2688886
0.0091	-0.274686
0.0092	-0.276037
0.0093	-0.2825779
0.0094	-0.2881318
0.0095	-0.2921445
0.0096	-0.2974253
0.0097	-0.3010818
0.0098	-0.3045002
0.0099	-0.309202
0.01	-0.3122486
0.0101	-0.3142132
0.0102	-0.3188841
0.0103	-0.3202174
0.0104	-0.3240409
0.0105	-0.3270349
0.0106	-0.3296934
0.0107	-0.3347126
0.0108	-0.3386333
0.0109	-0.3419239
0.011	-0.3456655
0.0111	-0.3477398
0.0112	-0.3509855
0.0113	-0.3546385
0.0114	-0.3562192
0.0115	-0.3593053
0.0116	-0.3640131
0.0117	-0.3662277
0.0118	-0.3695382
0.0119	-0.3716355
0.012	-0.3752459
0.0121	-0.3784677
0.0122	-0.380475
0.0123	-0.3833322
0.0124	-0.3866919
0.0125	-0.3892931
0.0126	-0.3925737
0.0127	-0.3941088
0.0128	-0.395198
0.0129	-0.398187
0.013	-0.400528
0.0131	-0.4020165
0.0132	-0.4053389
0.0133	-0.4078758
0.0134	-0.4101841
0.0135	-0.4123462
0.0136	-0.4142022
0.0137	-0.4164182
0.0138	-0.4191234
0.0139	-0.4223154
0.014	-0.4246371
0.0141	-0.4259152
0.0142	-0.426943
0.0143	-0.4294753
0.0144	-0.4310825
0.0145	-0.4322187
0.0146	-0.4343131
0.0147	-0.4361851
0.0148	-0.4379267
0.0149	-0.4399903
0.015	-0.4420445
0.0151	-0.4435184
0.0152	-0.4467808
0.0153	-0.4477933
0.0154	-0.4492337
0.0155	-0.451297
0.0156	-0.4528828
0.0157	-0.4540806
0.0158	-0.4553245
0.0159	-0.4564713
0.016	-0.4585648
0.0161	-0.4594665
0.0162	-0.4613307
0.0163	-0.4630814
0.0164	-0.4641712
0.0165	-0.4656286
0.0166	-0.4667936
0.0167	-0.4670565
0.0168	-0.4691914
0.0169	-0.4710434
0.017	-0.4727339
0.0171	-0.4740622
0.0172	-0.4744628
0.0173	-0.4759216
0.0174	-0.4775333
0.0175	-0.4785362
0.0176	-0.4802725
0.0177	-0.4824369
0.0178	-0.4845955
0.0179	-0.4856042
0.018	-0.4867105
0.0181	-0.4875107
0.0182	-0.4896208
0.0183	-0.4911851
0.0184	-0.4923858
0.0185	-0.4938425
0.0186	-0.4946596
0.0187	-0.4964838
0.0188	-0.4980872
0.0189	-0.4982413
0.019	-0.499152
0.0191	-0.5017755
0.0192	-0.5020112
0.0193	-0.5034655
0.0194	-0.5054293
0.0195	-0.5070727
0.0196	-0.5081539
0.0197	-0.5096347
0.0198	-0.5106937
0.0199	-0.5122761
0.02	-0.5136272
0.0201	-0.5160413
0.0202	-0.5167447
0.0203	-0.5188143
0.0204	-0.5194764
0.0205	-0.5212266
0.0206	-0.5218158
0.0207	-0.5244886
0.0208	-0.5252291
0.0209	-0.5288325
0.021	-0.5276806
0.0211	-0.5347071
0.0212	-0.5282905
0.0213	-0.5402795
0.0214	-0.5275562
0.0215	-0.5518491
0.0216	-0.5201001
0.0217	-0.5763877
0.0218	-0.414968
0.0219	1.21565
0.022	4.166975
0.0221	5.450635
0.0222	1.392699
0.0223	-0.4327089
0.0224	-0.5401191
0.0225	-0.5974065
0.0226	-0.5826291
0.0227	-0.5788515
0.0228	-0.5317124
0.0229	-0.5262207
0.023	-0.5616804
0.0231	-0.5406436
0.0232	-0.5569778
0.0233	-0.5827506
0.0234	-0.553672
0.0235	-0.5721392
0.0236	-0.5849879
0.0237	-0.5664577
0.0238	-0.5885403
0.0239	-0.5887142
0.024	-0.5777345
0.0241	-0.5947076
0.0242	-0.579382
0.0243	-0.5822839
0.0244	-0.5979277
0.0245	-0.5828503
0.0246	-0.5991567
0.0247	-0.6100379
0.0248	-0.5952394
0.0249	-0.6149215
0.025	-0.616348
0.0251	-0.6044824
0.0252	-0.6221042
0.0253	-0.6156901
0.0254	-0.6126555
0.0255	-0.6277754
0.0256	-0.6180337
0.0257	-0.6255329
0.0258	-0.6336664
0.0259	-0.6241221
0.026	-0.6376081
0.0261	-0.6411753
0.0262	-0.635341
0.0263	-0.6508242
0.0264	-0.6471319
0.0265	-0.6447271
0.0266	-0.6582224
0.0267	-0.6503863
0.0268	-0.6534892
0.0269	-0.6629478
0.027	-0.6552789
0.0271	-0.6659346
0.0272	-0.6698463
0.0273	-0.66393
0.0274	-0.67548
0.0275	-0.6751775
0.0276	-0.6742176
0.0277	-0.6852481
0.0278	-0.6812496
0.0279	-0.6846548
0.028	-0.6928908
0.0281	-0.6876014
0.0282	-0.693266
0.0283	-0.6983011
0.0284	-0.6935909
0.0285	-0.7033373
0.0286	-0.7039437
0.0287	-0.7019436
0.0288	-0.7116853
0.0289	-0.709768
0.029	-0.710404
0.0291	-0.7179148
0.0292	-0.7141585
0.0293	-0.7184255
0.0294	-0.723146
0.0295	-0.7188144
0.0296	-0.7249994
0.0297	-0.727466
0.0298	-0.7256126
0.0299	-0.7327052
0.03	-0.7314193
0.0301	-0.7327357
0.0302	-0.7385295
0.0303	-0.7352406
0.0304	-0.7385619
0.0305	-0.7421473
0.0306	-0.7392815
0.0307	-0.7444457
0.0308	-0.746448
0.0309	-0.7441344
0.031	-0.7492134
0.0311	-0.7492984
0.0312	-0.7494028
0.0313	-0.7538344
0.0314	-0.7531417
0.0315	-0.7544987
0.0316	-0.7577866
0.0317	-0.7564155
0.0318	-0.7593228
0.0319	-0.7599941
0.032	-0.7587114
0.0321	-0.7629401
0.0322	-0.7624539
0.0323	-0.7627096
0.0324	-0.7672269
0.0325	-0.7648175
0.0326	-0.7644104
0.0327	-0.7680532
0.0328	-0.7680844
0.0329	-0.7695799
0.033	-0.7708938
0.0331	-0.7690373
0.0332	-0.7714276
0.0333	-0.7709782
0.0334	-0.7703465
0.0335	-0.7732399
0.0336	-0.771668
0.0337	-0.772334
0.0338	-0.7739455
0.0339	-0.7714319
0.034	-0.7734922
0.0341	-0.7746398
0.0342	-0.774069
0.0343	-0.7758476
0.0344	-0.7766689
0.0345	-0.7756379
0.0346	-0.7769783
0.0347	-0.776669
0.0348	-0.7774951
0.0349	-0.7776465
0.035	-0.7759691
0.0351	-0.7765098
0.0352	-0.7761733
0.0353	-0.7745455
0.0354	-0.7758614
0.0355	-0.7757068
0.0356	-0.7745718
0.0357	-0.7753552
0.0358	-0.7741469
0.0359	-0.7741309
0.036	-0.7745171
0.0361	-0.7729426
0.0362	-0.7736025
0.0363	-0.7743963
0.0364	-0.7729892
0.0365	-0.7738809
0.0366	-0.7734541
0.0367	-0.7720366
0.0368	-0.7719052
0.0369	-0.7713018
0.037	-0.7708781
0.0371	-0.7712325
0.0372	-0.7697683
0.0373	-0.7699921
0.0374	-0.7694761
0.0375	-0.7684461
0.0376	-0.7692428
0.0377	-0.7685394
0.0378	-0.7674537
0.0379	-0.7683628
0.038	-0.7675048
0.0381	-0.7662147
0.0382	-0.766086
0.0383	-0.7659721
0.0384	-0.765538
0.0385	-0.7653964
0.0386	-0.7647452
0.0387	-0.7638727
0.0388	-0.7638471
0.0389	-0.7620624
0.039	-0.7619616
0.0391	-0.760879
0.0392	-0.7604267
0.0393	-0.7605057
0.0394	-0.7588867
0.0395	-0.7585075
0.0396	-0.7584931
0.0397	-0.7581776
0.0398	-0.7583803
0.0399	-0.7581423
0.04	-0.7570768
0.0401	-0.7575852
0.0402	-0.7572818
0.0403	-0.7554588
0.0404	-0.7555392
0.0405	-0.7551984
0.0406	-0.7537583
0.0407	-0.7530845
0.0408	-0.7523022
0.0409	-0.7515638
0.041	-0.751174
0.0411	-0.7511532
0.0412	-0.7510709
0.0413	-0.7499403
0.0414	-0.7486116
0.0415	-0.7485798
0.0416	-0.7473745
0.0417	-0.7465242
0.0418	-0.7460127
0.0419	-0.7453285
0.042	-0.7444116
0.0421	-0.7442665
0.0422	-0.7436352
0.0423	-0.7425621
0.0424	-0.7425209
0.0425	-0.7419018
0.0426	-0.7422634
0.0427	-0.7412168
0.0428	-0.7399599
0.0429	-0.738801
0.043	-0.7376311
0.0431	-0.736648
0.0432	-0.7363825
0.0433	-0.7356767
0.0434	-0.736034
0.0435	-0.7353563
0.0436	-0.7348657
0.0437	-0.7339764
0.0438	-0.733115
0.0439	-0.7323517
0.044	-0.7324313
0.0441	-0.7316061
0.0442	-0.7313893
0.0443	-0.7316325
0.0444	-0.7303736
0.0445	-0.730324
0.0446	-0.7302441
0.0447	-0.7291844
0.0448	-0.7284711
0.0449	-0.7271893
0.045	-0.7260867
0.0451	-0.7257627
0.0452	-0.724732
0.0453	-0.7242023
0.0454	-0.7242112
0.0455	-0.7235316
0.0456	-0.7228618
0.0457	-0.7220541
0.0458	-0.7201255
0.0459	-0.718842
0.046	-0.7187204
0.0461	-0.7174827
0.0462	-0.7164324
0.0463	-0.7163607
0.0464	-0.7146526
0.0465	-0.7137647
0.0466	-0.7126781
0.0467	-0.7117422
0.0468	-0.7110162
0.0469	-0.7103623
0.047	-0.7090006
0.0471	-0.7077426
0.0472	-0.7061334
0.0473	-0.7050845
0.0474	-0.7044808
0.0475	-0.7042299
0.0476	-0.704244
0.0477	-0.703363
0.0478	-0.7020432
0.0479	-0.7009834
0.048	-0.7000036
0.0481	-0.698377
0.0482	-0.6970787
0.0483	-0.6956444
0.0484	-0.6938381
0.0485	-0.6932634
0.0486	-0.6930326
0.0487	-0.6921982
0.0488	-0.6909637
0.0489	-0.6883945
0.049	-0.6881065
0.0491	-0.6871571
0.0492	-0.6858678
0.0493	-0.6852679
0.0494	-0.6840855
0.0495	-0.683284
0.0496	-0.6819008
0.0497	-0.68109
0.0498	-0.6800642
0.0499	-0.6788285
0.05	-0.6775747
0.0501	-0.6762959
0.0502	-0.674867
0.0503	-0.6731035
0.0504	-0.6724006
0.0505	-0.6715282
0.0506	-0.6703953
0.0507	-0.6686352
0.0508	-0.6678723
