Source File Name:	testeSEMmag
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Ref1 Force - Samples

Time	Time Signal
[ s ]	[ N ]
0	3.738252
0.0001	4.276695
0.0002	5.158526
0.0003	5.562524
0.0004	5.990539
0.0005	6.504847
0.0006	6.939468
0.0007	7.628019
0.0008	7.867746
0.0009	8.671852
0.001	9.830077
0.0011	9.828477
0.0012	7.510623
0.0013	7.593976
0.0014	9.135777
0.0015	9.157101
0.0016	9.828905
0.0017	10.62442
0.0018	9.992141
0.0019	9.530851
0.002	8.454088
0.0021	7.431698
0.0022	6.012871
0.0023	3.527084
0.0024	2.938748
0.0025	3.619515
0.0026	2.996845
0.0027	1.489234
0.0028	1.201097
0.0029	0.3149635
0.003	0.1026728
0.0031	0.02683894
0.0032	0.04882396
0.0033	0.02430982
0.0034	0.03467018
0.0035	0.0214344
0.0036	0.05888138
0.0037	0.05838069
0.0038	0.03159329
0.0039	0.05768499
0.004	0.04602696
0.0041	0.04029715
0.0042	0.05734772
0.0043	0.05062333
0.0044	0.04773976
0.0045	0.0579499
0.0046	0.05258333
0.0047	0.05176789
0.0048	0.04693551
0.0049	0.04298227
0.005	0.04360838
0.0051	0.03514873
0.0052	0.03718721
0.0053	0.04639241
0.0054	0.04048144
0.0055	0.0450956
0.0056	0.0542403
0.0057	0.04718807
0.0058	0.05090479
0.0059	0.05312795
0.006	0.04664994
0.0061	0.04830062
0.0062	0.04292674
0.0063	0.04054562
0.0064	0.04179801
0.0065	0.03690848
0.0066	0.04009743
0.0067	0.04193963
0.0068	0.03605341
0.0069	0.04175685
0.007	0.04280494
0.0071	0.03882196
0.0072	0.04388322
0.0073	0.04199003
0.0074	0.0402802
0.0075	0.0419798
0.0076	0.03765714
0.0077	0.03757326
0.0078	0.03707677
0.0079	0.03179647
0.008	0.03480796
0.0081	0.032675
0.0082	0.03018405
0.0083	0.03508073
0.0084	0.03193444
0.0085	0.0314864
0.0086	0.03441681
0.0087	0.0326788
0.0088	0.03277713
0.0089	0.0333958
0.009	0.03001092
0.0091	0.03131275
0.0092	0.02955634
0.0093	0.02711957
0.0094	0.02866444
0.0095	0.02647684
0.0096	0.02643223
0.0097	0.02829498
0.0098	0.02582458
0.0099	0.02765325
0.01	0.02831262
0.0101	0.02583762
0.0102	0.02843581
0.0103	0.02800556
0.0104	0.02646176
0.0105	0.02757685
0.0106	0.02495772
0.0107	0.02451476
0.0108	0.02624224
0.0109	0.02410856
0.011	0.0245485
0.0111	0.02411518
0.0112	0.02228594
0.0113	0.02520756
0.0114	0.0238972
0.0115	0.02238915
0.0116	0.02397847
0.0117	0.02308868
0.0118	0.02416645
0.0119	0.02506798
0.012	0.02306007
0.0121	0.02383598
0.0122	0.02277642
0.0123	0.02181217
0.0124	0.02241663
0.0125	0.02073836
0.0126	0.02097434
0.0127	0.02230828
0.0128	0.02117525
0.0129	0.02140959
0.013	0.02238336
0.0131	0.02098079
0.0132	0.02097676
0.0133	0.02119234
0.0134	0.01964273
0.0135	0.02093368
0.0136	0.02013134
0.0137	0.01923968
0.0138	0.02021773
0.0139	0.01982143
0.014	0.02046242
0.0141	0.02084975
0.0142	0.0198833
0.0143	0.0205115
0.0144	0.01963997
0.0145	0.01934765
0.0146	0.01960941
0.0147	0.01944191
0.0148	0.01956888
0.0149	0.01924772
0.015	0.01834235
0.0151	0.01928517
0.0152	0.0192225
0.0153	0.01856316
0.0154	0.01943102
0.0155	0.01874821
0.0156	0.01818871
0.0157	0.01885593
0.0158	0.01763247
0.0159	0.01764611
0.016	0.01824415
0.0161	0.01772514
0.0162	0.01735413
0.0163	0.01698971
0.0164	0.0169937
0.0165	0.01755514
0.0166	0.01684217
0.0167	0.01659361
0.0168	0.01571068
0.0169	0.01519984
0.017	0.01508656
0.0171	0.01547424
0.0172	0.01530838
0.0173	0.01559998
0.0174	0.01612371
0.0175	0.01500096
0.0176	0.01460866
0.0177	0.01477332
0.0178	0.01482865
0.0179	0.01501661
0.018	0.01308925
0.0181	0.0135696
0.0182	0.01351488
0.0183	0.01322872
0.0184	0.01323046
0.0185	0.01269604
0.0186	0.01236474
0.0187	0.01187995
0.0188	0.01178274
0.0189	0.01055726
0.019	0.01075168
0.0191	0.01117476
0.0192	0.01009965
0.0193	0.01038914
0.0194	0.009282944
0.0195	0.00912333
0.0196	0.008931309
0.0197	0.009154786
0.0198	0.009098612
0.0199	0.008461152
0.02	0.007971335
0.0201	0.007537934
0.0202	0.007720063
0.0203	0.007687895
0.0204	0.008204243
0.0205	0.008065421
0.0206	0.007706696
0.0207	0.007344619
0.0208	0.007293553
0.0209	0.008324387
0.021	0.008570177
0.0211	0.007276081
0.0212	0.006849763
0.0213	0.006792098
0.0214	0.006934359
0.0215	0.007216596
0.0216	0.007126741
0.0217	0.006652653
0.0218	0.006879238
0.0219	0.006547726
0.022	0.006337282
0.0221	0.005620605
0.0222	0.005515699
0.0223	0.005253844
0.0224	0.004785629
0.0225	0.005348413
0.0226	0.004551625
0.0227	0.004291146
0.0228	0.004296924
0.0229	0.005090866
0.023	0.004404025
0.0231	0.004074591
0.0232	0.00418788
0.0233	0.003908471
0.0234	0.004429491
0.0235	0.004072948
0.0236	0.003442431
0.0237	0.003120905
0.0238	0.002824679
0.0239	0.003011575
0.024	0.003674492
0.0241	0.003935906
0.0242	0.003590231
0.0243	0.003323295
0.0244	0.003501589
0.0245	0.003064371
0.0246	0.002249878
0.0247	0.003351208
0.0248	0.002678217
0.0249	0.002848369
0.025	0.003213984
0.0251	0.003082107
0.0252	0.003254087
0.0253	0.003574816
0.0254	0.002946823
0.0255	0.003071838
0.0256	0.002216561
0.0257	0.002374877
0.0258	0.00253335
0.0259	0.003483574
0.026	0.00324107
0.0261	0.003212617
0.0262	0.002740136
0.0263	0.002253749
0.0264	0.002592403
0.0265	0.002537146
0.0266	0.002567837
0.0267	0.002147923
0.0268	0.001887612
0.0269	0.0007145073
0.027	0.001031059
0.0271	0.001062678
0.0272	0.001066292
0.0273	0.001079656
0.0274	0.0006220777
0.0275	0.0005189551
0.0276	-0.0002926845
0.0277	-0.0002969419
0.0278	-0.0003015781
0.0279	-0.0003625641
0.028	-0.0007149673
0.0281	-0.001351597
0.0282	-0.001081598
0.0283	-0.002062522
0.0284	-0.001477612
0.0285	-0.001610334
0.0286	-0.001846596
0.0287	-0.001417298
0.0288	-0.002944538
0.0289	-0.002847571
0.029	-0.002981076
0.0291	-0.003089047
0.0292	-0.003000922
0.0293	-0.003130196
0.0294	-0.004032393
0.0295	-0.003573569
0.0296	-0.003898103
0.0297	-0.004566468
0.0298	-0.004472202
0.0299	-0.004752388
0.03	-0.004834282
0.0301	-0.005003509
0.0302	-0.005209341
0.0303	-0.005195131
0.0304	-0.004076858
0.0305	-0.004520271
0.0306	-0.004277749
0.0307	-0.004715861
0.0308	-0.005489934
0.0309	-0.005773352
0.031	-0.005973645
0.0311	-0.007032991
0.0312	-0.007257591
0.0313	-0.00706711
0.0314	-0.007158436
0.0315	-0.00750843
0.0316	-0.007516969
0.0317	-0.007179227
0.0318	-0.006838816
0.0319	-0.007536405
0.032	-0.008313064
0.0321	-0.007648217
0.0322	-0.008121348
0.0323	-0.008192363
0.0324	-0.008363378
0.0325	-0.008645656
0.0326	-0.008992223
0.0327	-0.008842615
0.0328	-0.009814721
0.0329	-0.009528159
0.033	-0.01022449
0.0331	-0.009949774
0.0332	-0.009374504
0.0333	-0.01046836
0.0334	-0.01058483
0.0335	-0.01070233
0.0336	-0.01074197
0.0337	-0.0118196
0.0338	-0.01212575
0.0339	-0.01293482
0.034	-0.0128859
0.0341	-0.01276802
0.0342	-0.01387083
0.0343	-0.01377197
0.0344	-0.01389352
0.0345	-0.01393682
0.0346	-0.0142587
0.0347	-0.01423046
0.0348	-0.01480885
0.0349	-0.01506206
0.035	-0.01491793
0.0351	-0.01553518
0.0352	-0.01585633
0.0353	-0.01617544
0.0354	-0.01621871
0.0355	-0.01651116
0.0356	-0.01652254
0.0357	-0.01712307
0.0358	-0.01752578
0.0359	-0.01770009
0.036	-0.01805328
0.0361	-0.01703454
0.0362	-0.01744429
0.0363	-0.0179207
0.0364	-0.01794095
0.0365	-0.01816165
0.0366	-0.0180405
0.0367	-0.01842855
0.0368	-0.01894048
0.0369	-0.01910982
0.037	-0.0205229
0.0371	-0.02007123
0.0372	-0.02028946
0.0373	-0.02063012
0.0374	-0.02060624
0.0375	-0.02066476
0.0376	-0.02121863
0.0377	-0.02170203
0.0378	-0.02193291
0.0379	-0.02173211
0.038	-0.02244255
0.0381	-0.02172967
0.0382	-0.02221996
0.0383	-0.02287064
0.0384	-0.02231488
0.0385	-0.02302174
0.0386	-0.02326495
0.0387	-0.02373933
0.0388	-0.02406778
0.0389	-0.02390782
0.039	-0.02410312
0.0391	-0.02445204
0.0392	-0.02563817
0.0393	-0.02514368
0.0394	-0.0259336
0.0395	-0.02597184
0.0396	-0.02602232
0.0397	-0.02617849
0.0398	-0.02684905
0.0399	-0.02718879
0.04	-0.02789884
0.0401	-0.02751859
0.0402	-0.02717962
0.0403	-0.02735119
0.0404	-0.02691057
0.0405	-0.02735246
0.0406	-0.02799398
0.0407	-0.02837114
0.0408	-0.02886122
0.0409	-0.02824862
0.041	-0.02931167
0.0411	-0.02989467
0.0412	-0.02973457
0.0413	-0.02950951
0.0414	-0.0293992
0.0415	-0.02935806
0.0416	-0.03015172
0.0417	-0.03057085
0.0418	-0.02965336
0.0419	-0.03001225
0.042	-0.03067191
0.0421	-0.03077551
0.0422	-0.03135535
0.0423	-0.03111703
0.0424	-0.03080685
0.0425	-0.03124279
0.0426	-0.03121007
0.0427	-0.03149746
0.0428	-0.03203599
0.0429	-0.03236188
0.043	-0.03263981
0.0431	-0.03232647
0.0432	-0.03234047
0.0433	-0.03292422
0.0434	-0.03273726
0.0435	-0.03203209
0.0436	-0.03254189
0.0437	-0.03326154
0.0438	-0.03328178
0.0439	-0.033404
0.044	-0.03360115
0.0441	-0.03490196
0.0442	-0.03495578
0.0443	-0.03523226
0.0444	-0.03519415
0.0445	-0.03653601
0.0446	-0.03641469
0.0447	-0.03657975
0.0448	-0.03666697
0.0449	-0.03640417
0.045	-0.03637794
0.0451	-0.03671851
0.0452	-0.03718252
0.0453	-0.0375321
0.0454	-0.03678256
0.0455	-0.03667407
0.0456	-0.03640766
0.0457	-0.03676176
0.0458	-0.03763231
0.0459	-0.03805523
0.046	-0.03770597
0.0461	-0.03772872
0.0462	-0.03836152
0.0463	-0.03840376
0.0464	-0.03899594
0.0465	-0.0385823
0.0466	-0.038563
0.0467	-0.03903221
0.0468	-0.03915945
0.0469	-0.03950474
0.047	-0.03972372
0.0471	-0.04012322
0.0472	-0.04028738
0.0473	-0.04036817
0.0474	-0.03939829
0.0475	-0.0403499
0.0476	-0.04067846
0.0477	-0.04119488
0.0478	-0.0405517
0.0479	-0.04005577
0.048	-0.04029874
0.0481	-0.04084698
0.0482	-0.04054221
0.0483	-0.04123661
0.0484	-0.04178561
0.0485	-0.04227855
0.0486	-0.04216442
0.0487	-0.04209838
0.0488	-0.04245063
0.0489	-0.04302113
0.049	-0.04278814
0.0491	-0.04317568
0.0492	-0.0436605
0.0493	-0.04347295
0.0494	-0.04302036
0.0495	-0.04359857
0.0496	-0.04349207
0.0497	-0.04405808
0.0498	-0.04356648
0.0499	-0.04358279
0.05	-0.04322053
0.0501	-0.04354111
0.0502	-0.0439339
0.0503	-0.044167
0.0504	-0.04470146
0.0505	-0.04474504
0.0506	-0.04476681
0.0507	-0.04529893
0.0508	-0.0461921
0.0509	-0.0464085
0.051	-0.04605077
0.0511	-0.04647588
0.0512	-0.04620286
0.0513	-0.04596666
0.0514	-0.04579509
0.0515	-0.04601624
0.0516	-0.04639093
0.0517	-0.04620048
0.0518	-0.04659495
0.0519	-0.04691509
0.052	-0.04783741
0.0521	-0.04750558
0.0522	-0.04750028
0.0523	-0.04818392
0.0524	-0.04810208
0.0525	-0.04776889
