Source File Name:	essevaiMAG
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Ref1 Force - Samples

Time	Time Signal
[ s ]	[ N ]
0	3.322563
0.0001	4.781465
0.0002	5.783679
0.0003	7.401614
0.0004	7.290979
0.0005	8.712177
0.0006	9.128579
0.0007	9.226618
0.0008	11.35936
0.0009	10.43592
0.001	12.17213
0.0011	14.55864
0.0012	13.61432
0.0013	12.08039
0.0014	10.01385
0.0015	12.12096
0.0016	12.63244
0.0017	13.2901
0.0018	14.51605
0.0019	13.38534
0.002	12.51552
0.0021	11.01313
0.0022	9.638467
0.0023	6.522177
0.0024	1.779985
0.0025	2.880253
0.0026	2.346278
0.0027	1.694679
0.0028	0.7375267
0.0029	-0.2217035
0.003	-0.05388504
0.0031	-0.2106915
0.0032	-0.1550257
0.0033	-0.2038461
0.0034	-0.1861705
0.0035	-0.2248751
0.0036	-0.1951628
0.0037	-0.2024639
0.0038	-0.2020368
0.0039	-0.1728881
0.004	-0.1623599
0.0041	-0.1680591
0.0042	-0.1578127
0.0043	-0.1561133
0.0044	-0.1592897
0.0045	-0.1648765
0.0046	-0.1705705
0.0047	-0.1742598
0.0048	-0.1862046
0.0049	-0.194919
0.005	-0.1886816
0.0051	-0.194317
0.0052	-0.1931323
0.0053	-0.1800459
0.0054	-0.1802127
0.0055	-0.175585
0.0056	-0.1679352
0.0057	-0.167275
0.0058	-0.166244
0.0059	-0.1689839
0.006	-0.1735187
0.0061	-0.1754715
0.0062	-0.1842253
0.0063	-0.1880857
0.0064	-0.1868671
0.0065	-0.1922871
0.0066	-0.1886888
0.0067	-0.1837197
0.0068	-0.1858285
0.0069	-0.1807932
0.007	-0.1764244
0.0071	-0.1761415
0.0072	-0.1739564
0.0073	-0.1759706
0.0074	-0.1777734
0.0075	-0.1792971
0.0076	-0.1862222
0.0077	-0.1875395
0.0078	-0.1886539
0.0079	-0.1933738
0.008	-0.1903729
0.0081	-0.1901765
0.0082	-0.1917246
0.0083	-0.1856879
0.0084	-0.1852713
0.0085	-0.185121
0.0086	-0.1825471
0.0087	-0.1843275
0.0088	-0.1840805
0.0089	-0.1861666
0.009	-0.1908031
0.0091	-0.1901814
0.0092	-0.1924973
0.0093	-0.1950713
0.0094	-0.1930897
0.0095	-0.1955813
0.0096	-0.1939379
0.0097	-0.191451
0.0098	-0.1923472
0.0099	-0.1905197
0.01	-0.1892671
0.0101	-0.1910582
0.0102	-0.1905326
0.0103	-0.1918603
0.0104	-0.1946803
0.0105	-0.1951009
0.0106	-0.1968804
0.0107	-0.1970734
0.0108	-0.1970169
0.0109	-0.1979981
0.011	-0.1973363
0.0111	-0.1973374
0.0112	-0.1980736
0.0113	-0.1968189
0.0114	-0.1966984
0.0115	-0.1973566
0.0116	-0.1957868
0.0117	-0.1963674
0.0118	-0.1969039
0.0119	-0.1971087
0.012	-0.1994051
0.0121	-0.1993438
0.0122	-0.2005928
0.0123	-0.2019146
0.0124	-0.2017505
0.0125	-0.2025721
0.0126	-0.2017527
0.0127	-0.2005315
0.0128	-0.2007075
0.0129	-0.2006405
0.013	-0.2003226
0.0131	-0.2017562
0.0132	-0.2021739
0.0133	-0.2027573
0.0134	-0.2040237
0.0135	-0.2037015
0.0136	-0.205707
0.0137	-0.2064215
0.0138	-0.2066618
0.0139	-0.2063477
0.014	-0.2064416
0.0141	-0.2066404
0.0142	-0.2068295
0.0143	-0.206411
0.0144	-0.2063888
0.0145	-0.2069769
0.0146	-0.2075203
0.0147	-0.2083312
0.0148	-0.2086095
0.0149	-0.2086384
0.015	-0.2102675
0.0151	-0.2100811
0.0152	-0.2098535
0.0153	-0.2102428
0.0154	-0.2108477
0.0155	-0.2112259
0.0156	-0.2122975
0.0157	-0.212687
0.0158	-0.2134145
0.0159	-0.2132043
0.016	-0.2129314
0.0161	-0.2134214
0.0162	-0.2136498
0.0163	-0.2141249
0.0164	-0.2145906
0.0165	-0.2148497
0.0166	-0.2158268
0.0167	-0.2166225
0.0168	-0.2168145
0.0169	-0.2168482
0.017	-0.2174758
0.0171	-0.2167731
0.0172	-0.2173787
0.0173	-0.2169581
0.0174	-0.2165533
0.0175	-0.2165424
0.0176	-0.2167279
0.0177	-0.2180192
0.0178	-0.218158
0.0179	-0.2189022
0.018	-0.2197245
0.0181	-0.2195407
0.0182	-0.2193265
0.0183	-0.2200086
0.0184	-0.2195407
0.0185	-0.2198714
0.0186	-0.2208386
0.0187	-0.2201435
0.0188	-0.2205618
0.0189	-0.2216263
0.019	-0.2209158
0.0191	-0.2215097
0.0192	-0.2221829
0.0193	-0.2219741
0.0194	-0.2222208
0.0195	-0.2223437
0.0196	-0.2214391
0.0197	-0.2217523
0.0198	-0.2234466
0.0199	-0.2231073
0.02	-0.2240718
0.0201	-0.2238233
0.0202	-0.2241673
0.0203	-0.2237438
0.0204	-0.2236501
0.0205	-0.223858
0.0206	-0.2241352
0.0207	-0.2247956
0.0208	-0.2249286
0.0209	-0.2252076
0.021	-0.2253367
0.0211	-0.2261651
0.0212	-0.2259489
0.0213	-0.2259491
0.0214	-0.2257036
0.0215	-0.2262998
0.0216	-0.2262229
0.0217	-0.2254128
0.0218	-0.2258144
0.0219	-0.2258361
0.022	-0.2265067
0.0221	-0.2268683
0.0222	-0.2270076
0.0223	-0.2274503
0.0224	-0.227677
0.0225	-0.2283834
0.0226	-0.2281224
0.0227	-0.2279939
0.0228	-0.228587
0.0229	-0.229314
0.023	-0.2293648
0.0231	-0.2287644
0.0232	-0.2297746
0.0233	-0.2297542
0.0234	-0.2300445
0.0235	-0.2304303
0.0236	-0.2306503
0.0237	-0.2308709
0.0238	-0.2308564
0.0239	-0.2312512
0.024	-0.232087
0.0241	-0.2312125
0.0242	-0.2308929
0.0243	-0.2315813
0.0244	-0.2312916
0.0245	-0.2316988
0.0246	-0.2316363
0.0247	-0.2314303
0.0248	-0.2314612
0.0249	-0.2326662
0.025	-0.2320967
0.0251	-0.2305021
0.0252	-0.2311063
0.0253	-0.231495
0.0254	-0.2316321
0.0255	-0.2316338
0.0256	-0.2322189
0.0257	-0.2321459
0.0258	-0.2322152
0.0259	-0.2321916
0.026	-0.2326435
0.0261	-0.2325091
0.0262	-0.2336431
0.0263	-0.2338061
0.0264	-0.2334039
0.0265	-0.2334876
0.0266	-0.2342726
0.0267	-0.2346062
0.0268	-0.2347831
0.0269	-0.2347084
0.027	-0.2351713
0.0271	-0.2347245
0.0272	-0.2346389
0.0273	-0.2350722
0.0274	-0.2351422
0.0275	-0.2355556
0.0276	-0.2364176
0.0277	-0.2361652
0.0278	-0.2354626
0.0279	-0.2363012
0.028	-0.2371311
0.0281	-0.2371444
0.0282	-0.2367129
0.0283	-0.236555
0.0284	-0.2370777
0.0285	-0.2372836
0.0286	-0.2379568
0.0287	-0.2382673
0.0288	-0.2379264
0.0289	-0.2376997
0.029	-0.237419
0.0291	-0.2376344
0.0292	-0.2383754
0.0293	-0.2382963
0.0294	-0.2382894
0.0295	-0.2380926
0.0296	-0.2381232
0.0297	-0.2374125
0.0298	-0.2379676
0.0299	-0.2375246
0.03	-0.2379749
0.0301	-0.2392256
0.0302	-0.2392555
0.0303	-0.2385491
0.0304	-0.2379068
0.0305	-0.2380993
0.0306	-0.2386625
0.0307	-0.2388895
0.0308	-0.2403977
0.0309	-0.2402979
0.031	-0.2405312
0.0311	-0.2408959
0.0312	-0.2412569
0.0313	-0.2407327
0.0314	-0.2408397
0.0315	-0.2413393
0.0316	-0.2410804
0.0317	-0.2415915
0.0318	-0.2416719
0.0319	-0.2423466
0.032	-0.2421774
0.0321	-0.241695
0.0322	-0.2417813
0.0323	-0.2427143
0.0324	-0.2435228
0.0325	-0.2426975
0.0326	-0.2431996
0.0327	-0.2432777
0.0328	-0.2435924
0.0329	-0.2438671
0.033	-0.2438201
0.0331	-0.2448342
0.0332	-0.2447405
0.0333	-0.2450992
0.0334	-0.2449712
0.0335	-0.2446366
0.0336	-0.2444286
0.0337	-0.24493
0.0338	-0.2452486
0.0339	-0.2454673
0.034	-0.2465041
0.0341	-0.246752
0.0342	-0.2461542
0.0343	-0.2465548
0.0344	-0.246359
0.0345	-0.2469673
0.0346	-0.247152
0.0347	-0.2469013
0.0348	-0.2472515
0.0349	-0.2470093
0.035	-0.2470746
0.0351	-0.2474046
0.0352	-0.2472165
0.0353	-0.246848
0.0354	-0.2478302
0.0355	-0.2483632
0.0356	-0.2483075
0.0357	-0.2482904
0.0358	-0.2479727
0.0359	-0.2485478
0.036	-0.2490214
0.0361	-0.2484714
0.0362	-0.2484422
0.0363	-0.2486319
0.0364	-0.2489727
0.0365	-0.2486326
0.0366	-0.2486973
0.0367	-0.2488176
0.0368	-0.2492537
0.0369	-0.2491774
0.037	-0.2490706
0.0371	-0.2497118
0.0372	-0.2496779
0.0373	-0.2496024
0.0374	-0.2496288
0.0375	-0.2493061
0.0376	-0.2508079
0.0377	-0.2502165
0.0378	-0.2498172
0.0379	-0.2500557
0.038	-0.2500845
0.0381	-0.2504436
0.0382	-0.2505496
0.0383	-0.2500267
0.0384	-0.2506916
0.0385	-0.2507079
0.0386	-0.2514491
0.0387	-0.2511137
0.0388	-0.2519533
0.0389	-0.2514246
0.039	-0.2510242
0.0391	-0.250847
0.0392	-0.2512406
0.0393	-0.2516323
0.0394	-0.251232
0.0395	-0.2516926
0.0396	-0.2516508
0.0397	-0.2516497
0.0398	-0.2524618
0.0399	-0.2522138
0.04	-0.2522269
0.0401	-0.2530573
0.0402	-0.2538193
0.0403	-0.2531943
0.0404	-0.2529432
0.0405	-0.2534232
0.0406	-0.2533302
0.0407	-0.2535832
0.0408	-0.253736
0.0409	-0.2537198
0.041	-0.2536951
0.0411	-0.2537291
0.0412	-0.2529961
0.0413	-0.2534941
0.0414	-0.2532592
0.0415	-0.253782
0.0416	-0.2534434
0.0417	-0.2530401
0.0418	-0.253668
0.0419	-0.2541502
0.042	-0.2534218
0.0421	-0.2540735
0.0422	-0.2540595
0.0423	-0.2543558
0.0424	-0.254819
0.0425	-0.2547379
0.0426	-0.2550682
0.0427	-0.2546605
0.0428	-0.2551879
0.0429	-0.2548649
0.043	-0.2550966
0.0431	-0.2550997
0.0432	-0.2550184
0.0433	-0.2549419
0.0434	-0.2552234
0.0435	-0.2545635
0.0436	-0.2544832
0.0437	-0.2551689
0.0438	-0.2552122
0.0439	-0.2547647
0.044	-0.2553868
0.0441	-0.2555875
0.0442	-0.2561298
0.0443	-0.256398
0.0444	-0.2568743
0.0445	-0.2570439
0.0446	-0.2561193
0.0447	-0.2565317
0.0448	-0.2562994
0.0449	-0.2562028
0.045	-0.2569323
0.0451	-0.2562673
0.0452	-0.2562558
0.0453	-0.2568744
0.0454	-0.256852
0.0455	-0.2560375
0.0456	-0.2559189
0.0457	-0.2559493
0.0458	-0.256057
0.0459	-0.2564455
0.046	-0.2564788
0.0461	-0.2565563
0.0462	-0.2577744
0.0463	-0.25766
0.0464	-0.2572493
0.0465	-0.2569745
0.0466	-0.2572382
0.0467	-0.257512
0.0468	-0.2569009
0.0469	-0.2562094
0.047	-0.256265
0.0471	-0.2563415
0.0472	-0.2559017
0.0473	-0.2566168
0.0474	-0.2559056
0.0475	-0.2561511
0.0476	-0.2565587
0.0477	-0.2569304
0.0478	-0.2578899
0.0479	-0.257345
0.048	-0.2564506
0.0481	-0.2567515
0.0482	-0.2569505
0.0483	-0.2570593
0.0484	-0.2568671
0.0485	-0.2570991
0.0486	-0.258022
0.0487	-0.2581059
0.0488	-0.2574095
0.0489	-0.2570321
0.049	-0.2567034
0.0491	-0.2565677
0.0492	-0.2564571
0.0493	-0.2562686
0.0494	-0.2567269
0.0495	-0.2569964
0.0496	-0.256148
0.0497	-0.2566402
0.0498	-0.2566439
0.0499	-0.2567195
0.05	-0.2566169
0.0501	-0.2575176
0.0502	-0.2574798
0.0503	-0.2568024
0.0504	-0.2568565
0.0505	-0.2568901
0.0506	-0.2566358
0.0507	-0.2566717
