Source File Name:	essevaiMAG
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0.0274	-0.3865463
0.0275	-0.4226647
0.0276	-0.4654124
0.0277	-0.497056
0.0278	-0.4903108
0.0279	-0.4824763
0.028	-0.4767749
0.0281	-0.5019804
0.0282	-0.5153563
0.0283	-0.5277194
0.0284	-0.5476313
0.0285	-0.5761662
0.0286	-0.6035458
0.0287	-0.5836848
0.0288	-0.5564599
0.0289	-0.5238457
0.029	-0.5026914
0.0291	-0.4567504
0.0292	-0.4063024
0.0293	-0.3805005
0.0294	-0.3671559
0.0295	-0.3541555
0.0296	-0.3067027
0.0297	-0.2662887
0.0298	-0.2181409
0.0299	-0.1608626
0.03	-0.06688566
0.0301	0.02535754
0.0302	0.08693586
0.0303	0.1386171
0.0304	0.1884001
0.0305	0.2419008
0.0306	0.2617745
0.0307	0.2879304
0.0308	0.3256519
0.0309	0.3887867
0.031	0.4386094
0.0311	0.4722919
0.0312	0.5117013
0.0313	0.5481865
0.0314	0.5708769
0.0315	0.5487711
0.0316	0.5322241
0.0317	0.5208735
0.0318	0.5211971
0.0319	0.5096512
0.032	0.4982396
0.0321	0.5117021
0.0322	0.5254813
0.0323	0.5351717
0.0324	0.5041854
0.0325	0.4731154
0.0326	0.4392034
0.0327	0.3917528
0.0328	0.3253111
0.0329	0.2512186
0.033	0.2155591
0.0331	0.1845999
0.0332	0.160103
0.0333	0.1191776
0.0334	0.08682801
0.0335	0.05843871
0.0336	0.003336396
0.0337	-0.07180852
0.0338	-0.1630371
0.0339	-0.2198569
0.034	-0.2772123
0.0341	-0.3308552
0.0342	-0.37444
0.0343	-0.3900578
0.0344	-0.3821127
0.0345	-0.3976946
0.0346	-0.4199012
0.0347	-0.4563965
0.0348	-0.4767131
0.0349	-0.50824
0.035	-0.5550231
0.0351	-0.5892981
0.0352	-0.6002972
0.0353	-0.5776954
0.0354	-0.5698997
0.0355	-0.5514176
0.0356	-0.5256183
0.0357	-0.4873802
0.0358	-0.4655708
0.0359	-0.4721508
0.036	-0.471528
0.0361	-0.4620942
0.0362	-0.4309286
0.0363	-0.4125965
0.0364	-0.3690383
0.0365	-0.2977392
0.0366	-0.2095534
0.0367	-0.1383323
0.0368	-0.08497644
0.0369	-0.02079428
0.037	0.03182013
0.0371	0.0753154
0.0372	0.09522444
0.0373	0.1410461
0.0374	0.2043667
0.0375	0.2739159
0.0376	0.3288082
0.0377	0.382454
0.0378	0.4464954
0.0379	0.482392
0.038	0.4948973
0.0381	0.484091
0.0382	0.4917436
0.0383	0.4950231
0.0384	0.4946677
0.0385	0.4922314
0.0386	0.5048515
0.0387	0.5380601
0.0388	0.5492935
0.0389	0.5470874
0.039	0.5268023
0.0391	0.5157993
0.0392	0.4851212
0.0393	0.4353627
0.0394	0.3883772
0.0395	0.3522854
0.0396	0.3393709
0.0397	0.3124987
0.0398	0.2884507
0.0399	0.2614917
0.04	0.2412942
0.0401	0.2033261
0.0402	0.1304216
0.0403	0.05705525
0.0404	-0.01648672
