X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	003: [06-04-24 09:45]		004: [06-04-24 09:50]	
         120	  0,00356758	57,0	  0,00322345	57,3
     120,088	  0,00368738	71,0	   0,0033756	58,1
     120,176	  0,00337393	62,8	  0,00318121	63,4
     120,264	  0,00321673	55,9	  0,00341262	58,0
     120,352	  0,00378488	59,8	  0,00398391	64,5
      120,44	  0,00398178	67,4	  0,00312573	55,9
     120,528	  0,00353089	63,1	  0,00347211	66,8
     120,616	  0,00310254	49,9	  0,00368882	63,2
     120,704	  0,00381059	66,7	  0,00319933	58,2
     120,792	  0,00361696	70,1	  0,00346365	63,0
      120,88	  0,00414356	72,1	  0,00368465	58,5
     120,968	  0,00367213	61,5	  0,00317611	57,1
     121,056	  0,00352007	54,0	  0,00389887	62,4
     121,144	  0,00351785	65,7	  0,00337097	62,0
     121,232	  0,00381906	59,1	  0,00398449	66,0
      121,32	  0,00351969	59,7	  0,00343795	63,7
     121,408	  0,00363625	57,8	  0,00386246	62,8
     121,496	  0,00366182	61,6	  0,00348609	58,5
     121,584	  0,00369066	57,4	  0,00382752	63,0
     121,672	  0,00395827	71,2	  0,00386826	62,9
      121,76	  0,00394898	61,5	  0,00349007	60,8
     121,848	   0,0037686	60,2	  0,00366763	53,3
     121,935	  0,00409815	63,9	   0,0039492	69,3
     122,023	  0,00395795	54,9	  0,00362341	63,0
     122,111	  0,00367259	57,4	  0,00392822	57,2
     122,199	  0,00407404	63,7	  0,00382096	66,8
     122,287	  0,00424821	67,7	  0,00394891	69,6
     122,375	  0,00412316	57,4	  0,00358385	55,0
     122,463	  0,00393582	59,2	  0,00371359	49,9
     122,551	  0,00405281	60,6	  0,00397534	60,0
     122,639	  0,00395307	64,7	  0,00396813	65,8
     122,727	    0,004093	72,9	  0,00384224	65,8
     122,815	  0,00434983	67,5	  0,00368814	56,9
     122,903	  0,00434559	68,3	  0,00400009	59,2
     122,991	   0,0040945	56,9	  0,00413331	60,9
     123,079	  0,00409946	61,2	  0,00395692	50,6
     123,167	  0,00426565	60,9	  0,00417838	61,5
