X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-09-24 15:24]		003: [07-09-24 15:27]	
        41,5	     2028,15	-31,9	     2175,73	-32,3
      41,502	     2057,52	-31,1	     2151,82	-32,8
     41,5039	     2099,83	-30,3	     2128,67	-33,7
     41,5059	     2110,26	-32,6	     2142,23	-34,5
     41,5078	     2106,79	-31,4	     2143,44	-30,5
     41,5098	     2146,21	-33,6	     2136,75	-33,0
     41,5117	     2128,87	-31,5	     2150,63	-31,9
     41,5137	     2158,89	-30,9	     2154,79	-32,2
     41,5156	     2137,11	-32,1	     2182,89	-33,4
     41,5176	     2159,95	-31,2	     2173,16	-31,9
     41,5196	     2188,33	-34,3	     2175,33	-33,4
     41,5215	     2162,66	-34,1	     2147,75	-30,5
     41,5235	      2160,3	-32,0	     2157,34	-34,5
     41,5254	        2193	-32,4	     2174,76	-33,9
     41,5274	      2168,8	-33,9	     2185,06	-32,1
     41,5293	      2164,7	-34,4	      2182,4	-32,5
     41,5313	     2187,18	-32,5	     2170,67	-32,0
     41,5332	     2190,46	-33,2	     2186,19	-34,2
     41,5352	     2161,61	-31,6	      2184,3	-31,9
     41,5371	     2171,31	-32,2	     2184,02	-32,5
     41,5391	     2196,87	-31,9	     2186,04	-33,5
     41,5411	     2190,55	-32,0	     2199,47	-32,5
      41,543	     2195,39	-33,0	     2214,55	-33,3
      41,545	     2209,54	-29,3	     2198,93	-31,3
     41,5469	     2233,26	-33,9	     2195,29	-32,9
     41,5489	     2195,84	-33,5	     2197,31	-30,8
     41,5508	     2208,05	-33,4	     2205,77	-30,4
     41,5528	        2212	-33,4	     2229,65	-32,5
     41,5547	     2225,43	-32,0	     2214,57	-31,2
     41,5567	     2219,01	-33,2	     2225,24	-35,1
     41,5587	      2218,3	-32,2	     2240,02	-30,9
     41,5606	        2230	-33,4	     2232,21	-30,8
     41,5626	      2236,8	-30,3	     2221,19	-33,6
     41,5645	     2246,02	-30,2	      2232,6	-32,4
     41,5665	     2223,62	-32,7	     2237,84	-34,6
     41,5684	     2215,79	-30,8	     2248,03	-31,6
     41,5704	     2266,01	-32,6	      2272,1	-32,7
     41,5723	     2254,81	-31,8	     2265,74	-30,9
     41,5743	     2243,38	-31,5	     2249,33	-32,7
     41,5762	     2229,92	-30,8	     2259,79	-33,8
     41,5782	      2237,1	-29,0	     2255,32	-31,2
