X-Data [Hz]	Reference	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	
		003: [05-25-24 15:46]		004: [05-25-24 16:01]	
     137,669	       0,025	   0,0224657	 0,0	   0,0261875	 0,0
     137,698	       0,025	   0,0253637	 0,0	    0,024968	 0,0
     137,727	       0,025	   0,0261044	 0,0	   0,0247859	 0,0
     137,757	       0,025	   0,0264796	 0,0	   0,0226553	 0,0
     137,786	       0,025	   0,0264007	 0,0	   0,0256088	 0,0
     137,815	       0,025	   0,0241526	 0,0	   0,0260599	 0,0
     137,845	       0,025	   0,0254387	 0,0	   0,0259133	 0,0
     137,874	       0,025	   0,0231945	 0,0	    0,023628	 0,0
     137,903	       0,025	   0,0263667	 0,0	   0,0255094	 0,0
     137,933	       0,025	   0,0248587	 0,0	   0,0252441	 0,0
     137,962	       0,025	   0,0244493	 0,0	   0,0254195	 0,0
     137,991	       0,025	   0,0245547	 0,0	   0,0236319	 0,0
     138,021	       0,025	    0,024446	 0,0	   0,0245126	 0,0
      138,05	       0,025	   0,0234151	 0,0	   0,0243304	 0,0
     138,079	       0,025	   0,0264726	 0,0	   0,0237607	 0,0
     138,109	       0,025	   0,0244245	 0,0	   0,0246308	 0,0
     138,138	       0,025	   0,0258228	 0,0	   0,0239955	 0,0
     138,167	       0,025	    0,025694	 0,0	   0,0268404	 0,0
     138,196	       0,025	   0,0252972	 0,0	   0,0263415	 0,0
     138,226	       0,025	   0,0234317	 0,0	   0,0262128	 0,0
     138,255	       0,025	   0,0250274	 0,0	   0,0259006	 0,0
     138,284	       0,025	   0,0263305	 0,0	   0,0270883	 0,0
     138,314	       0,025	   0,0250605	 0,0	   0,0229603	 0,0
     138,343	       0,025	   0,0241894	 0,0	   0,0246914	 0,0
     138,372	       0,025	   0,0229713	 0,0	   0,0238532	 0,0
     138,402	       0,025	   0,0262731	 0,0	   0,0245324	 0,0
     138,431	       0,025	    0,024577	 0,0	   0,0257698	 0,0
      138,46	       0,025	    0,025793	 0,0	   0,0245192	 0,0
      138,49	       0,025	   0,0256957	 0,0	   0,0255436	 0,0
     138,519	       0,025	   0,0252504	 0,0	   0,0239262	 0,0
     138,548	       0,025	    0,024126	 0,0	   0,0280757	 0,0
     138,578	       0,025	   0,0270318	 0,0	   0,0268675	 0,0
     138,607	       0,025	   0,0270463	 0,0	   0,0261378	 0,0
     138,636	       0,025	   0,0251739	 0,0	   0,0251755	 0,0
     138,666	       0,025	   0,0265483	 0,0	   0,0249459	 0,0
     138,695	       0,025	   0,0248103	 0,0	   0,0235053	 0,0
     138,724	       0,025	    0,023994	 0,0	   0,0249043	 0,0
     138,754	       0,025	   0,0247131	 0,0	   0,0267229	 0,0
     138,783	       0,025	   0,0262247	 0,0	    0,024026	 0,0
     138,812	       0,025	   0,0256656	 0,0	      0,0275	 0,0
     138,842	       0,025	   0,0259774	 0,0	   0,0238426	 0,0
     138,871	       0,025	    0,023448	 0,0	   0,0255246	 0,0
       138,9	       0,025	   0,0240873	 0,0	   0,0250524	 0,0
      138,93	       0,025	   0,0250079	 0,0	   0,0252517	 0,0
     138,959	       0,025	   0,0265005	 0,0	   0,0250429	 0,0
     138,988	       0,025	   0,0259879	 0,0	   0,0249951	 0,0
     139,018	       0,025	   0,0262733	 0,0	   0,0222898	 0,0
     139,047	       0,025	   0,0254886	 0,0	   0,0259272	 0,0
     139,076	       0,025	   0,0260116	 0,0	   0,0271009	 0,0
     139,106	       0,025	   0,0258671	 0,0	   0,0237504	 0,0
     139,135	       0,025	   0,0264373	 0,0	   0,0251866	 0,0
     139,164	       0,025	   0,0264028	 0,0	    0,026353	 0,0
     139,194	       0,025	   0,0255261	 0,0	   0,0258381	 0,0
     139,223	       0,025	   0,0254231	 0,0	   0,0242198	 0,0
     139,252	       0,025	   0,0247068	 0,0	   0,0259682	 0,0
     139,282	       0,025	   0,0262825	 0,0	   0,0239797	 0,0
     139,311	       0,025	   0,0237101	 0,0	   0,0258699	 0,0
      139,34	       0,025	   0,0277333	 0,0	   0,0246831	 0,0
      139,37	       0,025	   0,0263391	 0,0	   0,0240168	 0,0
     139,399	       0,025	   0,0261916	 0,0	   0,0259882	 0,0
     139,428	       0,025	   0,0245265	 0,0	   0,0244766	 0,0
     139,457	       0,025	   0,0274639	 0,0	   0,0273143	 0,0
     139,487	       0,025	   0,0272126	 0,0	   0,0257443	 0,0
     139,516	       0,025	   0,0245311	 0,0	   0,0254146	 0,0
     139,545	       0,025	   0,0248964	 0,0	   0,0243857	 0,0
     139,575	       0,025	   0,0250724	 0,0	   0,0251355	 0,0
     139,604	       0,025	   0,0253348	 0,0	   0,0238586	 0,0
     139,633	       0,025	   0,0253734	 0,0	   0,0246188	 0,0
     139,663	       0,025	   0,0258068	 0,0	   0,0255962	 0,0
     139,692	       0,025	   0,0250729	 0,0	   0,0254547	 0,0
     139,721	       0,025	   0,0242134	 0,0	   0,0254933	 0,0
     139,751	       0,025	   0,0250173	 0,0	   0,0252763	 0,0
      139,78	       0,025	   0,0276028	 0,0	   0,0266142	 0,0
     139,809	       0,025	    0,025821	 0,0	    0,025457	 0,0
     139,839	       0,025	   0,0260176	 0,0	   0,0250146	 0,0
     139,868	       0,025	   0,0245978	 0,0	   0,0251923	 0,0
     139,897	       0,025	   0,0235076	 0,0	   0,0244677	 0,0
     139,927	       0,025	   0,0252938	 0,0	   0,0248941	 0,0
     139,956	       0,025	   0,0252324	 0,0	   0,0237241	 0,0
     139,985	       0,025	   0,0243578	 0,0	   0,0250177	 0,0
     140,015	       0,025	   0,0261439	 0,0	   0,0262778	 0,0
     140,044	       0,025	   0,0257461	 0,0	   0,0258752	 0,0
     140,073	       0,025	   0,0249528	 0,0	   0,0244905	 0,0
     140,103	       0,025	   0,0246492	 0,0	   0,0252456	 0,0
     140,132	       0,025	   0,0257838	 0,0	   0,0253314	 0,0
     140,161	       0,025	   0,0246016	 0,0	   0,0255028	 0,0
     140,191	       0,025	   0,0264063	 0,0	   0,0228592	 0,0
      140,22	       0,025	   0,0243574	 0,0	   0,0262158	 0,0
     140,249	       0,025	   0,0247628	 0,0	   0,0232164	 0,0
     140,279	       0,025	    0,023949	 0,0	   0,0254653	 0,0
     140,308	       0,025	   0,0258051	 0,0	   0,0234314	 0,0
     140,337	       0,025	   0,0251247	 0,0	   0,0265383	 0,0
     140,367	       0,025	   0,0261061	 0,0	   0,0233004	 0,0
     140,396	       0,025	   0,0234647	 0,0	   0,0245638	 0,0
     140,425	       0,025	   0,0249207	 0,0	   0,0240292	 0,0
     140,455	       0,025	   0,0244151	 0,0	   0,0251499	 0,0
     140,484	       0,025	   0,0280616	 0,0	   0,0254665	 0,0
     140,513	       0,025	   0,0254498	 0,0	   0,0251234	 0,0
     140,543	       0,025	   0,0241012	 0,0	   0,0244906	 0,0
     140,572	       0,025	   0,0254801	 0,0	   0,0264098	 0,0
     140,601	       0,025	   0,0246045	 0,0	   0,0248726	 0,0
      140,63	       0,025	   0,0239331	 0,0	   0,0238104	 0,0
      140,66	       0,025	    0,023946	 0,0	   0,0248962	 0,0
     140,689	       0,025	   0,0252325	 0,0	   0,0247497	 0,0
     140,718	       0,025	   0,0248925	 0,0	   0,0247283	 0,0
     140,748	       0,025	   0,0251926	 0,0	   0,0238953	 0,0
     140,777	       0,025	   0,0247625	 0,0	   0,0263779	 0,0
     140,806	       0,025	   0,0245738	 0,0	   0,0254642	 0,0
     140,836	       0,025	    0,025612	 0,0	   0,0257543	 0,0
     140,865	       0,025	   0,0242452	 0,0	   0,0272676	 0,0
     140,894	       0,025	   0,0267816	 0,0	   0,0257925	 0,0
     140,924	       0,025	   0,0238147	 0,0	   0,0243803	 0,0
