X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [06-28-24 14:07]		003: [06-28-24 14:15]	
          34	   0,0158508	105,5	   0,0168912	104,3
      34,002	   0,0165497	106,4	   0,0169124	106,5
     34,0039	    0,016676	105,6	   0,0170388	106,4
     34,0059	    0,016646	104,1	    0,017003	105,6
     34,0078	   0,0169743	103,8	   0,0170764	106,7
     34,0098	    0,017084	104,6	   0,0170546	105,0
     34,0117	   0,0167636	104,9	   0,0171374	105,5
     34,0137	   0,0168098	106,7	   0,0170722	106,4
     34,0156	   0,0169918	106,0	   0,0172843	107,4
     34,0176	   0,0169834	105,9	   0,0170668	106,4
     34,0196	   0,0171061	105,0	   0,0171094	103,5
     34,0215	   0,0172829	105,0	   0,0172665	103,9
     34,0235	   0,0172552	107,1	   0,0172857	104,6
     34,0254	   0,0170683	107,4	   0,0171832	106,0
     34,0274	   0,0173201	106,8	   0,0172013	105,1
     34,0293	   0,0171906	108,8	   0,0173476	105,6
     34,0313	   0,0173261	105,3	   0,0174482	104,5
     34,0332	   0,0172199	104,7	     0,01741	104,8
     34,0352	   0,0174793	105,0	   0,0173558	107,2
     34,0371	   0,0174767	106,0	   0,0175402	106,9
     34,0391	   0,0171847	104,9	   0,0174321	107,9
     34,0411	   0,0172272	105,8	   0,0177046	105,7
      34,043	    0,017711	105,3	   0,0176312	104,9
      34,045	   0,0174958	106,5	   0,0177061	107,3
     34,0469	   0,0175803	107,9	   0,0176316	107,7
     34,0489	   0,0175626	107,5	   0,0178051	107,3
     34,0508	   0,0177658	108,0	   0,0176952	106,0
     34,0528	   0,0175534	108,2	   0,0178797	108,7
     34,0547	   0,0176781	107,1	   0,0179461	107,4
     34,0567	   0,0177664	107,0	   0,0179526	107,9
     34,0587	   0,0179222	107,8	   0,0179079	107,9
     34,0606	    0,017806	107,3	   0,0181488	108,2
     34,0626	   0,0177223	107,0	   0,0181123	105,9
     34,0645	   0,0178882	105,3	   0,0179974	106,4
