X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-09-24 15:32]		003: [07-09-24 15:35]	
        41,5	     0,14117	-103,5	    0,155936	-104,2
      41,502	    0,144231	-107,2	    0,151237	-106,2
     41,5039	    0,142962	-104,2	    0,146736	-104,5
     41,5059	    0,143851	-102,4	    0,147645	-107,2
     41,5078	     0,14997	-104,5	    0,147885	-101,8
     41,5098	    0,148051	-103,0	    0,147719	-103,9
     41,5117	    0,150545	-106,1	    0,149283	-103,8
     41,5137	    0,148172	-105,8	    0,148842	-103,7
     41,5156	    0,150643	-105,8	    0,149493	-105,6
     41,5176	    0,152038	-106,5	    0,150845	-101,1
     41,5196	    0,152039	-103,4	    0,150872	-103,0
     41,5215	    0,153822	-106,6	    0,149651	-102,5
     41,5235	     0,15062	-103,8	    0,149042	-103,0
     41,5254	    0,153002	-106,7	    0,154453	-105,5
     41,5274	    0,152412	-107,6	    0,153032	-104,0
     41,5293	    0,151703	-103,1	    0,154074	-105,5
     41,5313	    0,156743	-104,4	    0,151866	-102,6
     41,5332	    0,153684	-102,9	      0,1519	-102,9
     41,5352	    0,154268	-105,8	    0,154253	-108,4
     41,5371	    0,149892	-103,4	     0,15226	-103,6
     41,5391	    0,152824	-102,7	    0,154827	-106,5
     41,5411	    0,151182	-102,2	    0,153724	-100,9
      41,543	    0,154095	-101,7	    0,153803	-103,7
      41,545	     0,15274	-106,0	    0,154794	-102,6
     41,5469	    0,151954	-103,0	    0,153484	-103,4
     41,5489	      0,1566	-106,1	    0,154422	-104,4
     41,5508	    0,155391	-104,0	    0,155049	-101,4
     41,5528	    0,155065	-101,9	    0,158241	-105,5
     41,5547	    0,154609	-104,3	    0,157535	-103,2
     41,5567	    0,153832	-102,7	    0,154712	-104,2
     41,5587	     0,15829	-105,7	    0,161493	-103,9
     41,5606	    0,155975	-105,0	    0,156996	-102,4
     41,5626	    0,159168	-104,4	     0,15963	-105,1
     41,5645	    0,158032	-104,5	    0,159809	-103,3
     41,5665	    0,157645	-103,9	    0,156612	-104,3
     41,5684	    0,158544	-106,6	    0,158165	-102,7
     41,5704	    0,156713	-102,6	    0,156969	-101,4
     41,5723	      0,1599	-103,7	    0,156742	-103,7
     41,5743	     0,16018	-104,8	    0,157018	-102,3
     41,5762	    0,159671	-102,8	      0,1578	-101,4
     41,5782	    0,160027	-103,8	    0,160081	-103,2
     41,5802	     0,15719	-102,1	    0,160421	-103,3
     41,5821	    0,161045	-103,4	     0,16305	-104,3
     41,5841	    0,158785	-103,3	    0,160269	-102,1
      41,586	    0,158701	-101,5	    0,161908	-105,0
      41,588	    0,161871	-106,1	    0,162671	-104,6
     41,5899	     0,15862	-102,3	     0,16157	-105,1
     41,5919	    0,163282	-106,2	    0,163747	-106,5
     41,5938	    0,161026	-103,7	    0,159182	-101,5
     41,5958	    0,163062	-102,5	     0,16129	-103,5
     41,5978	    0,163533	-103,9	    0,161522	-101,2
     41,5997	    0,162528	-102,8	      0,1601	-102,2
     41,6017	    0,162055	-104,2	    0,163337	-104,3
     41,6036	      0,1622	-102,8	    0,163247	-102,5
     41,6056	     0,16474	-104,7	     0,16634	-104,0
     41,6075	    0,164435	-104,6	      0,1678	-102,8
     41,6095	     0,16583	-103,8	      0,1671	-104,5
     41,6114	     0,16616	-104,6	     0,16699	-104,7
     41,6134	    0,163607	-100,8	    0,164114	-103,8
     41,6153	    0,167082	-102,1	    0,167277	-106,1
     41,6173	    0,167535	-104,2	    0,168634	-103,3
     41,6193	    0,166495	-102,1	    0,164543	-102,2
     41,6212	    0,169345	-104,1	    0,168481	-104,7
     41,6232	    0,165933	-103,1	    0,168103	-102,7
     41,6251	    0,167607	-103,5	    0,168957	-104,9
     41,6271	    0,167372	-102,3	    0,168465	-101,0
      41,629	    0,167409	-100,7	     0,16675	-101,3
      41,631	    0,169108	-104,8	    0,170138	-102,7
     41,6329	     0,16553	-102,7	    0,168571	-100,8
     41,6349	     0,16945	-105,3	    0,171569	-105,1
     41,6369	    0,168356	-102,8	    0,170377	-101,7
     41,6388	    0,169192	-100,6	    0,169572	-101,9
     41,6408	    0,173456	-103,5	    0,174014	-103,5
     41,6427	     0,16955	-102,1	    0,170856	-100,7
     41,6447	    0,170883	-103,7	     0,17098	-103,3
     41,6466	    0,171489	-104,6	    0,169103	-101,3
     41,6486	    0,170867	-101,4	    0,170156	-103,6
     41,6505	    0,173657	-103,5	    0,173192	-102,3
     41,6525	    0,169909	-100,1	    0,171036	-100,4
     41,6544	    0,172083	-101,0	    0,174226	-104,3
     41,6564	    0,170313	-102,7	    0,175998	-102,0
     41,6584	    0,172376	-100,6	    0,176109	-105,2
     41,6603	    0,173276	-104,0	    0,177785	-105,0
     41,6623	    0,171322	-101,3	    0,176711	-101,9
     41,6642	    0,175972	-102,0	    0,176527	-102,9
     41,6662	    0,175334	-104,8	    0,178014	-102,8
     41,6681	     0,17525	-101,0	    0,175305	-102,6
     41,6701	    0,177064	-103,5	    0,176889	-104,9
      41,672	    0,174009	-100,7	     0,17663	-101,6
      41,674	    0,174572	-102,1	    0,176629	-102,1
      41,676	    0,176305	-101,3	    0,178498	-102,2
     41,6779	    0,175027	-100,3	    0,177852	-100,4
     41,6799	    0,177266	-103,8	    0,183532	-101,9
     41,6818	     0,17428	-102,8	    0,178254	-101,5
     41,6838	    0,178755	-102,6	    0,179383	-104,5
     41,6857	    0,179308	-103,2	    0,179929	-102,9
     41,6877	    0,179377	-102,0	    0,180098	-102,0
     41,6896	     0,18041	-102,5	    0,182082	-102,5
     41,6916	    0,176773	-101,6	    0,182484	-102,3
     41,6936	    0,177657	-100,0	    0,180991	-102,4
     41,6955	     0,17789	-102,8	    0,183079	-103,9
     41,6975	    0,179184	-100,7	    0,180032	-101,8
     41,6994	    0,183188	-103,6	    0,183347	-102,2
     41,7014	    0,181804	-101,5	    0,181062	-99,9
     41,7033	    0,179936	-100,7	    0,183321	-101,2
     41,7053	    0,182398	-103,4	    0,186781	-101,6
     41,7072	    0,181016	-102,8	    0,182865	-99,4
     41,7092	    0,185021	-102,8	    0,184628	-104,8
     41,7111	    0,183834	-103,4	    0,185804	-102,4
     41,7131	    0,183192	-100,4	    0,183782	-102,8
     41,7151	    0,184043	-103,5	    0,186986	-101,6
      41,717	    0,182856	-102,7	    0,188376	-102,1
      41,719	    0,186721	-102,8	    0,187242	-104,0
     41,7209	    0,185895	-102,8	    0,188657	-102,2
     41,7229	    0,186233	-100,6	    0,185255	-100,8
     41,7248	    0,188808	-102,3	    0,184965	-102,2
     41,7268	    0,187897	-102,2	    0,187627	-100,8
     41,7287	    0,189674	-103,2	    0,188418	-99,4
     41,7307	    0,188475	-102,9	    0,191877	-102,5
     41,7327	    0,187292	-100,5	    0,188431	-100,7
     41,7346	    0,189372	-101,6	    0,191593	-103,9
     41,7366	     0,18701	-99,4	    0,192281	-102,1
     41,7385	    0,189438	-98,8	    0,191819	-100,7
     41,7405	    0,189937	-102,3	    0,193378	-101,9
     41,7424	    0,186884	-101,4	    0,188528	-100,7
     41,7444	    0,191464	-101,8	    0,191777	-101,5
     41,7463	    0,191437	-102,0	    0,193549	-101,0
     41,7483	    0,191619	-102,0	    0,191774	-100,5
     41,7502	    0,195442	-101,7	    0,196039	-102,1
     41,7522	    0,190424	-99,7	    0,195551	-100,4
     41,7542	    0,193616	-101,1	    0,193917	-101,2
     41,7561	     0,19191	-101,6	    0,195858	-101,7
     41,7581	    0,193441	-101,1	    0,197301	-101,1
       41,76	    0,194295	-103,6	    0,195668	-102,1
      41,762	    0,193559	-101,3	    0,199239	-104,0
     41,7639	    0,196111	-100,5	    0,195465	-99,0
     41,7659	    0,195539	-101,4	    0,198674	-101,0
     41,7678	    0,196673	-102,3	    0,198409	-99,1
     41,7698	    0,200037	-101,3	    0,196025	-103,1
     41,7718	    0,198831	-103,2	     0,20102	-102,5
     41,7737	    0,197843	-98,7	    0,199959	-101,1
     41,7757	    0,199641	-101,5	    0,200604	-102,6
     41,7776	     0,19711	-99,4	    0,204039	-101,4
     41,7796	    0,199185	-99,0	    0,199994	-98,9
     41,7815	     0,19959	-101,9	    0,199253	-99,9
     41,7835	    0,198653	-100,4	    0,201073	-99,6
