X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-05-24 16:43]	
       41,25	  0,00349887	70,3
     41,2522	  0,00362194	76,2
     41,2544	   0,0037087	68,5
     41,2566	  0,00360744	70,5
     41,2588	  0,00361668	77,2
      41,261	  0,00368699	71,6
     41,2632	  0,00370621	71,1
     41,2654	  0,00359243	77,0
     41,2676	  0,00364701	71,2
     41,2698	  0,00369856	74,3
      41,272	  0,00382438	70,2
     41,2742	  0,00365731	71,4
     41,2764	  0,00362839	78,8
     41,2786	   0,0036876	70,1
     41,2808	  0,00366781	72,9
      41,283	  0,00368195	77,4
     41,2852	  0,00372199	68,9
     41,2874	    0,003561	76,0
     41,2896	   0,0036951	75,3
     41,2918	   0,0037859	69,8
      41,294	  0,00368068	76,4
     41,2962	  0,00371401	70,4
     41,2984	  0,00365177	73,1
     41,3006	  0,00377536	73,7
     41,3028	  0,00380041	75,1
      41,305	  0,00378084	72,2
     41,3072	  0,00361996	72,6
     41,3094	  0,00377334	73,7
     41,3116	  0,00379842	78,2
     41,3138	  0,00374689	71,1
      41,316	   0,0037068	73,3
     41,3182	   0,0038229	77,1
     41,3204	  0,00391037	69,5
     41,3226	  0,00371136	73,3
     41,3248	  0,00373583	77,3
      41,327	  0,00374622	72,6
     41,3292	  0,00379746	72,8
     41,3314	  0,00375736	74,5
     41,3336	  0,00367643	73,4
     41,3358	  0,00377525	80,0
      41,338	  0,00392235	69,3
     41,3402	  0,00376587	72,4
     41,3424	  0,00370931	75,8
     41,3446	  0,00386453	70,7
     41,3468	  0,00392581	75,6
      41,349	  0,00371387	74,9
     41,3512	  0,00374724	71,3
     41,3534	  0,00401458	77,3
     41,3556	  0,00388863	71,6
     41,3578	  0,00387482	72,0
       41,36	  0,00382318	77,8
     41,3622	  0,00373054	71,8
     41,3644	   0,0038963	75,5
     41,3666	  0,00399794	75,3
     41,3688	  0,00383624	70,1
      41,371	  0,00366351	78,5
     41,3732	  0,00387573	74,4
     41,3754	  0,00403005	71,6
     41,3776	  0,00380645	77,8
     41,3798	  0,00386098	70,5
      41,382	  0,00387913	76,8
     41,3842	  0,00382255	75,9
     41,3864	  0,00387813	71,6
     41,3886	  0,00397282	78,0
     41,3908	  0,00391818	73,5
      41,393	  0,00400081	76,5
     41,3952	  0,00398194	72,6
     41,3974	  0,00388721	73,8
     41,3996	  0,00395368	76,9
     41,4018	  0,00392367	74,3
      41,404	  0,00399671	73,9
     41,4062	  0,00396547	76,1
     41,4084	  0,00393715	71,4
     41,4106	  0,00396743	72,5
     41,4128	  0,00400091	75,9
      41,415	  0,00386845	78,1
     41,4172	  0,00383417	77,2
     41,4194	  0,00398699	72,1
     41,4216	  0,00403736	79,7
     41,4238	  0,00401077	74,4
      41,426	  0,00402087	71,3
     41,4282	  0,00397591	77,4
     41,4304	  0,00395314	68,8
     41,4326	  0,00397803	75,4
     41,4347	  0,00395548	78,5
      41,437	  0,00406983	69,0
     41,4391	  0,00404303	78,3
     41,4413	  0,00401201	74,8
     41,4436	  0,00397844	69,9
     41,4457	  0,00404416	82,5
     41,4479	  0,00412543	70,7
