X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-05-24 16:31]	
       41,25	    0,037252	-99,2
     41,2522	   0,0396996	-107,6
     41,2544	   0,0408198	-111,2
     41,2566	   0,0377336	-103,9
     41,2588	   0,0384949	-111,7
      41,261	   0,0404616	-111,5
     41,2632	   0,0383973	-104,9
     41,2654	    0,037511	-112,5
     41,2676	   0,0406672	-109,8
     41,2698	   0,0406607	-102,7
      41,272	   0,0417041	-114,5
     41,2742	   0,0385864	-99,1
     41,2764	   0,0395306	-106,6
     41,2786	   0,0397622	-112,7
     41,2808	   0,0405627	-105,2
      41,283	   0,0422096	-112,4
     41,2852	   0,0410148	-112,1
     41,2874	   0,0380655	-98,9
     41,2896	   0,0411605	-112,8
     41,2918	   0,0407858	-117,2
      41,294	   0,0384335	-99,0
     41,2962	   0,0404702	-111,1
     41,2984	   0,0414877	-112,9
     41,3006	   0,0388534	-104,9
     41,3028	    0,040299	-103,9
      41,305	    0,041142	-103,8
     41,3072	   0,0407114	-113,4
     41,3094	   0,0397509	-114,9
     41,3116	   0,0406779	-99,7
     41,3138	   0,0409842	-116,2
      41,316	   0,0420944	-112,5
     41,3182	     0,04031	-101,1
     41,3204	   0,0419776	-116,9
     41,3226	   0,0425301	-107,9
     41,3248	   0,0398641	-101,5
      41,327	   0,0402899	-105,5
     41,3292	   0,0412436	-104,3
     41,3314	    0,043044	-112,7
     41,3336	   0,0419957	-108,1
     41,3358	   0,0398301	-108,2
      41,338	   0,0428791	-115,7
     41,3402	   0,0424705	-108,5
     41,3424	    0,041475	-106,1
     41,3446	   0,0414738	-117,4
     41,3468	   0,0419769	-102,9
      41,349	   0,0417985	-101,8
     41,3512	   0,0424837	-115,8
     41,3534	   0,0435385	-113,9
     41,3556	    0,044263	-111,6
     41,3578	   0,0412119	-109,2
       41,36	   0,0408383	-105,7
     41,3622	   0,0421444	-113,0
     41,3644	   0,0430471	-101,9
     41,3666	   0,0438665	-112,2
     41,3688	   0,0426358	-111,9
      41,371	   0,0433168	-101,9
     41,3732	   0,0452124	-113,4
     41,3754	   0,0436506	-107,0
     41,3776	   0,0418299	-102,2
     41,3798	   0,0445312	-115,8
      41,382	   0,0418029	-107,3
     41,3842	   0,0441533	-109,0
     41,3864	   0,0436434	-101,8
     41,3886	   0,0451002	-110,8
     41,3908	   0,0441849	-113,7
      41,393	   0,0436201	-100,6
     41,3952	   0,0430849	-116,4
     41,3974	   0,0433134	-107,6
     41,3996	   0,0441855	-105,3
     41,4018	   0,0427449	-111,4
      41,404	    0,043121	-106,6
     41,4062	   0,0438287	-110,1
     41,4084	   0,0444404	-105,9
     41,4106	   0,0433435	-106,3
     41,4128	   0,0446274	-115,9
      41,415	   0,0437127	-102,2
     41,4172	   0,0434792	-103,1
     41,4194	   0,0452927	-114,0
     41,4216	   0,0436528	-100,3
     41,4238	   0,0440048	-106,3
      41,426	   0,0432034	-115,8
     41,4282	   0,0443833	-102,4
     41,4304	   0,0445767	-111,7
     41,4326	   0,0457571	-99,2
     41,4347	   0,0470544	-114,3
      41,437	   0,0437228	-109,4
     41,4391	   0,0433713	-101,9
     41,4413	   0,0467558	-112,4
     41,4436	   0,0467477	-108,4
     41,4457	    0,042914	-108,7
     41,4479	   0,0452993	-112,1
     41,4501	   0,0440044	-105,0
     41,4523	   0,0464402	-108,3
     41,4545	   0,0455978	-101,5
     41,4567	   0,0454584	-114,1
     41,4589	    0,045353	-112,3
     41,4611	    0,043891	-96,3
     41,4633	   0,0472605	-112,7
     41,4655	   0,0477089	-104,6
     41,4677	   0,0461717	-106,8
     41,4699	   0,0458339	-114,5
     41,4721	   0,0457367	-99,0
     41,4743	    0,046225	-103,6
     41,4765	   0,0467481	-100,8
     41,4787	   0,0456511	-108,2
     41,4809	   0,0490638	-105,6
     41,4831	   0,0477424	-101,0
     41,4853	   0,0455159	-115,0
     41,4875	   0,0446862	-104,1
     41,4897	   0,0477303	-106,1
     41,4919	   0,0478936	-108,4
     41,4941	   0,0476656	-104,9
     41,4963	   0,0476355	-113,5
     41,4985	   0,0469139	-103,6
     41,5007	   0,0486738	-105,3
     41,5029	   0,0484867	-114,3
     41,5051	   0,0465293	-102,5
     41,5073	   0,0473861	-111,0
     41,5095	   0,0487302	-110,4
     41,5117	   0,0508114	-113,2
