X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-01-24 17:37]	
     33,8851	     459,264	-66,2
     33,8871	     460,074	-66,8
     33,8891	     453,357	-67,3
      33,891	      456,45	-66,4
      33,893	     460,384	-65,8
     33,8949	     463,613	-65,7
     33,8969	     457,765	-67,4
     33,8988	     459,921	-66,6
     33,9008	     460,698	-67,0
     33,9027	     464,354	-65,3
     33,9047	     470,815	-64,7
     33,9066	     469,091	-65,2
     33,9086	     466,221	-65,8
     33,9106	     466,584	-65,5
     33,9125	     468,044	-64,7
     33,9145	     466,955	-65,4
     33,9164	     473,716	-63,5
     33,9184	     477,598	-63,7
     33,9203	     474,571	-64,8
     33,9223	     472,701	-65,0
     33,9242	     474,745	-64,5
     33,9262	     479,574	-63,7
     33,9282	     481,155	-63,3
     33,9301	     479,598	-63,7
     33,9321	     482,661	-62,8
      33,934	     486,277	-62,9
      33,936	     483,496	-63,7
     33,9379	     482,512	-63,8
     33,9399	     484,936	-63,0
     33,9418	     491,703	-61,5
     33,9438	     491,421	-61,7
     33,9457	     488,432	-62,7
     33,9477	     485,698	-63,0
     33,9497	     491,813	-60,5
     33,9516	     490,209	-62,4
     33,9536	     494,054	-60,4
     33,9555	     497,657	-60,4
     33,9575	     497,143	-61,5
     33,9594	     494,814	-61,6
     33,9614	     496,836	-60,5
     33,9633	     503,447	-59,7
     33,9653	      505,78	-59,7
     33,9673	     501,962	-61,1
     33,9692	      501,93	-61,4
     33,9712	      502,02	-60,5
     33,9731	     501,562	-60,5
     33,9751	     510,057	-59,2
      33,977	     512,084	-58,1
      33,979	     513,544	-59,3
     33,9809	     509,725	-60,1
     33,9829	     508,645	-59,6
     33,9848	     510,858	-59,8
     33,9868	     511,292	-58,8
     33,9888	     513,924	-59,9
     33,9907	     513,794	-59,1
     33,9927	     516,408	-58,5
     33,9946	     522,483	-56,6
     33,9966	     524,315	-56,7
     33,9985	     525,913	-56,7
     34,0005	     527,426	-56,4
     34,0024	     524,335	-57,2
     34,0044	     522,572	-57,3
     34,0064	     523,934	-57,2
     34,0083	     526,108	-57,1
     34,0103	     531,004	-55,1
     34,0122	     532,927	-55,8
     34,0142	     532,544	-56,6
     34,0161	     530,525	-56,1
     34,0181	     531,684	-55,6
       34,02	     532,888	-55,8
      34,022	     535,428	-55,0
     34,0239	     540,038	-54,4
     34,0259	     542,317	-54,5
     34,0279	     540,406	-54,8
     34,0298	     540,015	-55,3
     34,0318	     540,186	-54,6
     34,0337	     545,148	-53,4
     34,0357	     551,228	-53,1
     34,0376	     552,293	-52,8
     34,0396	     553,441	-52,8
     34,0415	     551,438	-52,2
     34,0435	     549,032	-54,1
     34,0455	     549,367	-53,7
     34,0474	     551,694	-53,0
     34,0494	     555,378	-51,9
     34,0513	     560,926	-51,6
     34,0533	     559,544	-51,6
     34,0552	     557,559	-52,7
     34,0572	     558,915	-52,0
     34,0591	     560,913	-51,5
     34,0611	      563,96	-51,2
      34,063	     565,814	-50,2
      34,065	     564,642	-51,0
      34,067	     569,107	-49,4
     34,0689	       572,7	-49,8
     34,0709	      572,93	-49,1
     34,0728	     572,385	-49,5
     34,0748	     575,015	-48,4
     34,0767	     576,909	-49,3
     34,0787	     574,946	-49,5
     34,0806	      576,04	-49,6
     34,0826	      577,71	-49,4
     34,0846	     577,804	-49,0
     34,0865	     580,932	-47,9
     34,0885	     577,476	-49,3
     34,0904	     580,881	-48,8
     34,0924	     583,013	-47,4
     34,0943	     587,381	-47,3
     34,0963	     591,703	-46,2
     34,0982	     592,785	-46,3
     34,1002	       593,9	-46,0
     34,1021	     595,169	-45,5
     34,1041	     598,583	-45,4
     34,1061	     598,719	-46,0
      34,108	     597,653	-45,6
       34,11	     596,366	-46,2
     34,1119	     596,691	-46,2
     34,1139	     597,406	-46,1
     34,1158	     599,349	-45,2
     34,1178	     607,366	-44,4
     34,1197	     605,222	-44,4
     34,1217	     609,353	-44,0
     34,1237	       612,3	-42,8
     34,1256	     611,454	-43,6
     34,1276	      613,08	-43,4
     34,1295	     612,933	-44,0
     34,1315	      611,11	-43,9
     34,1334	     611,512	-43,1
     34,1354	     614,799	-42,6
     34,1373	     615,232	-42,8
     34,1393	     616,931	-42,4
     34,1413	     618,122	-42,7
     34,1432	     622,564	-41,2
     34,1452	     625,641	-40,4
     34,1471	     628,078	-40,5
     34,1491	     623,701	-41,6
      34,151	      624,57	-41,5
      34,153	     630,662	-40,3
     34,1549	     635,411	-39,4
     34,1569	     635,151	-38,6
     34,1588	     635,337	-38,9
     34,1608	     638,336	-38,8
     34,1628	     639,688	-38,0
     34,1647	     639,403	-38,1
     34,1667	     642,672	-37,7
     34,1686	      640,31	-37,7
     34,1706	     640,518	-38,3
     34,1725	     639,281	-37,9
     34,1745	     642,661	-37,6
     34,1764	      646,71	-37,0
     34,1784	     650,456	-36,1
     34,1804	     652,941	-35,4
     34,1823	      653,44	-35,0
     34,1843	     654,612	-36,0
     34,1862	      655,96	-34,8
     34,1882	      656,57	-34,6
     34,1901	     656,684	-34,7
     34,1921	     655,212	-34,7
      34,194	     657,621	-34,7
      34,196	     655,644	-34,2
     34,1979	     658,829	-34,7
     34,1999	     660,042	-34,1
     34,2019	     662,469	-33,4
     34,2038	     661,798	-33,4
     34,2058	       663,9	-32,8
     34,2077	     665,967	-32,5
     34,2097	     666,164	-32,7
     34,2116	     665,595	-32,8
     34,2136	     667,375	-32,2
     34,2155	     667,834	-31,5
     34,2175	     669,551	-31,3
     34,2195	     673,574	-30,1
     34,2214	     675,871	-30,1
     34,2234	     670,661	-30,6
     34,2253	     674,747	-30,1
     34,2273	     675,639	-30,1
     34,2292	     679,493	-29,3
     34,2312	     678,851	-28,6
     34,2331	     677,975	-28,6
     34,2351	     677,112	-28,9
      34,237	     678,012	-27,5
      34,239	     679,239	-28,3
      34,241	     682,063	-27,5
     34,2429	     686,835	-26,5
     34,2449	      685,92	-26,5
     34,2468	     685,146	-27,0
     34,2488	     684,688	-26,8
     34,2507	     687,567	-25,8
     34,2527	     692,163	-24,2
     34,2546	      694,15	-24,4
     34,2566	     694,829	-24,2
     34,2586	      693,82	-24,0
     34,2605	      692,12	-23,9
     34,2625	      692,73	-23,5
     34,2644	     690,833	-24,0
     34,2664	     695,693	-23,1
     34,2683	     693,714	-22,8
     34,2703	     696,725	-22,7
     34,2722	     698,362	-21,9
     34,2742	     698,056	-21,3
     34,2761	     700,614	-21,0
     34,2781	     700,385	-20,6
     34,2801	     700,625	-20,4
      34,282	     701,328	-20,6
      34,284	     702,962	-19,6
     34,2859	     703,224	-19,5
     34,2879	     700,742	-19,3
     34,2898	     697,958	-20,0
     34,2918	     696,994	-19,4
     34,2937	     696,606	-19,4
     34,2957	     700,329	-19,0
     34,2977	     697,734	-18,8
     34,2996	     697,271	-18,6
     34,3016	      697,27	-18,3
     34,3035	     699,655	-18,0
     34,3055	     704,111	-16,5
     34,3074	     704,594	-16,2
     34,3094	     708,133	-16,2
     34,3113	      706,46	-15,5
     34,3133	     703,406	-15,0
     34,3153	     702,827	-15,2
     34,3172	     704,667	-14,4
     34,3192	     707,058	-14,2
     34,3211	     706,441	-13,9
     34,3231	     706,499	-13,3
      34,325	     705,449	-13,0
      34,327	     701,813	-13,5
     34,3289	     699,796	-13,3
     34,3309	      700,07	-13,1
     34,3328	     701,883	-12,3
     34,3348	     705,871	-11,7
     34,3368	     703,794	-11,5
     34,3387	     701,447	-12,0
     34,3407	       701,4	-11,2
     34,3426	      704,99	-10,7
     34,3446	     702,272	-10,6
     34,3465	     697,453	-10,8
     34,3485	     698,839	-10,4
     34,3504	     702,338	-9,6
     34,3524	     703,881	-9,2
     34,3544	     704,032	-8,8
     34,3563	     701,652	-9,0
     34,3583	     701,788	-8,1
     34,3602	         702	-8,1
     34,3622	     700,642	-7,7
     34,3641	     700,287	-8,1
     34,3661	     700,106	-7,2
      34,368	     701,229	-6,7
       34,37	     699,328	-6,8
     34,3719	     698,852	-6,4
     34,3739	     696,243	-6,5
     34,3759	     698,208	-5,8
     34,3778	      698,28	-6,0
     34,3798	     690,972	-5,9
     34,3817	     689,949	-5,9
     34,3837	     690,224	-6,1
     34,3856	     691,429	-4,9
     34,3876	      690,37	-4,6
     34,3895	     690,487	-4,2
     34,3915	     688,883	-4,7
     34,3935	     685,936	-3,9
     34,3954	     685,209	-4,1
     34,3974	     682,639	-3,3
     34,3993	     684,797	-3,4
     34,4013	     682,917	-2,7
     34,4032	     681,553	-2,4
     34,4052	     680,963	-2,1
     34,4071	     679,739	-2,4
     34,4091	     680,993	-2,0
      34,411	     680,313	-2,1
      34,413	     680,873	-0,7
      34,415	     675,239	-1,4
     34,4169	     675,947	-1,1
     34,4189	     675,977	-0,3
     34,4208	     676,891	-0,4
     34,4228	     675,827	-0,2
     34,4247	     670,806	-0,2
     34,4267	     672,343	 0,6
     34,4286	     673,033	 1,2
     34,4306	     671,491	 1,2
     34,4326	     670,753	 1,4
     34,4345	     672,037	 1,7
     34,4365	      674,19	 2,1
     34,4384	     667,404	 1,7
     34,4404	     665,851	 1,8
     34,4423	     663,207	 2,3
     34,4443	     664,612	 2,4
     34,4462	     661,859	 3,4
     34,4482	     659,547	 3,2
     34,4501	     660,054	 3,0
     34,4521	     657,027	 4,0
     34,4541	     659,015	 4,1
      34,456	     658,884	 4,9
      34,458	     657,595	 4,7
     34,4599	     653,291	 4,9
     34,4619	     652,796	 4,6
     34,4638	     652,094	 5,7
     34,4658	     650,552	 5,4
     34,4677	     648,557	 6,1
     34,4697	     649,313	 6,0
     34,4717	     647,447	 6,0
     34,4736	     643,773	 5,9
     34,4756	     644,578	 6,5
     34,4775	     644,212	 7,7
     34,4795	     645,664	 7,3
     34,4814	      644,38	 8,1
     34,4834	     642,354	 7,7
     34,4853	     643,038	 8,5
