X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-02-24 17:31]	
        33,5	   0,0193549	93,8
      33,502	   0,0199483	94,0
     33,5039	   0,0206338	93,3
     33,5059	   0,0208213	93,5
     33,5078	   0,0209616	93,1
     33,5098	   0,0211135	93,0
     33,5117	   0,0210702	93,1
     33,5137	   0,0212539	92,8
     33,5156	    0,021337	93,4
     33,5176	   0,0213572	93,2
     33,5196	   0,0211429	92,8
     33,5215	   0,0214499	93,1
     33,5235	   0,0214641	93,5
     33,5254	   0,0215423	93,9
     33,5274	   0,0215486	93,2
     33,5293	   0,0214907	94,0
     33,5313	   0,0214911	93,9
     33,5332	   0,0216092	94,2
     33,5352	   0,0216694	94,2
     33,5371	    0,021597	93,7
     33,5391	   0,0215757	93,7
     33,5411	   0,0217515	94,2
      33,543	   0,0217742	94,0
      33,545	   0,0216931	94,1
     33,5469	   0,0219592	94,3
     33,5489	   0,0216821	93,8
     33,5508	   0,0219057	94,5
     33,5528	    0,021911	95,1
     33,5547	   0,0220503	94,5
     33,5567	   0,0219156	94,8
     33,5587	   0,0220824	94,2
     33,5606	   0,0220499	94,9
     33,5626	    0,022202	94,6
     33,5645	   0,0222406	95,0
     33,5665	   0,0221784	95,4
     33,5684	   0,0221787	95,8
     33,5704	    0,022197	96,3
     33,5723	   0,0222837	96,5
     33,5743	   0,0223653	95,1
     33,5762	    0,022384	95,7
     33,5782	   0,0224072	95,3
     33,5802	   0,0223467	94,8
     33,5821	   0,0221831	95,6
     33,5841	   0,0222852	96,3
      33,586	   0,0225453	96,1
      33,588	    0,022662	97,0
     33,5899	   0,0226398	96,4
     33,5919	   0,0226154	96,0
     33,5938	   0,0226999	96,8
     33,5958	   0,0227138	96,8
     33,5978	   0,0227478	96,8
     33,5997	   0,0226982	96,9
     33,6017	   0,0226074	96,8
     33,6036	   0,0229017	97,1
     33,6056	   0,0229353	97,6
     33,6075	   0,0230032	96,9
     33,6095	   0,0228773	96,4
     33,6114	   0,0230983	96,9
     33,6134	    0,022793	97,2
     33,6153	   0,0231419	97,0
     33,6173	   0,0232041	96,8
     33,6193	   0,0231684	96,7
     33,6212	   0,0231991	97,0
     33,6232	   0,0232552	96,9
     33,6251	   0,0233469	97,5
     33,6271	   0,0233105	98,2
      33,629	   0,0233529	97,9
      33,631	    0,023454	98,8
     33,6329	   0,0234343	98,6
     33,6349	   0,0235016	98,6
     33,6369	   0,0233071	98,4
     33,6388	   0,0234744	99,0
     33,6408	   0,0236197	98,4
     33,6427	   0,0236709	98,6
     33,6447	   0,0237392	98,3
     33,6466	   0,0238128	98,5
     33,6486	   0,0236082	98,1
     33,6505	   0,0238409	99,0
     33,6525	   0,0239023	99,4
     33,6544	   0,0239551	99,0
     33,6564	   0,0239603	99,3
     33,6584	   0,0240213	100,1
     33,6603	   0,0240399	99,6
     33,6623	    0,024049	99,8
     33,6642	   0,0239714	99,9
     33,6662	     0,02389	99,0
     33,6681	   0,0239798	100,1
     33,6701	   0,0242282	100,7
      33,672	   0,0240765	99,8
      33,674	   0,0240842	99,9
      33,676	   0,0240002	99,3
     33,6779	   0,0242781	99,7
     33,6799	   0,0243798	99,9
     33,6818	   0,0244484	100,3
     33,6838	   0,0244989	101,1
     33,6857	   0,0244339	101,3
     33,6877	   0,0243537	101,1
     33,6896	   0,0246336	101,6
     33,6916	   0,0244775	100,7
     33,6936	   0,0247432	101,5
     33,6955	   0,0247732	101,2
     33,6975	   0,0247107	101,6
     33,6994	   0,0248317	101,5
     33,7014	   0,0248358	101,4
     33,7033	   0,0247977	101,5
     33,7053	   0,0248218	101,3
     33,7072	   0,0248898	101,2
     33,7092	   0,0249184	101,5
     33,7111	   0,0249711	101,9
     33,7131	   0,0248308	101,8
     33,7151	   0,0250432	102,2
      33,717	   0,0250805	101,8
      33,719	   0,0250511	101,9
     33,7209	   0,0251784	102,8
     33,7229	   0,0253094	103,6
     33,7248	   0,0253519	103,0
     33,7268	   0,0254396	102,6
     33,7287	   0,0252645	102,9
     33,7307	   0,0254252	103,6
     33,7327	   0,0255285	103,3
     33,7346	   0,0255955	103,5
     33,7366	   0,0256558	103,5
     33,7385	   0,0253659	102,9
     33,7405	   0,0256933	103,0
     33,7424	   0,0254791	103,4
     33,7444	   0,0255964	103,6
     33,7463	   0,0257796	103,6
     33,7483	   0,0254006	103,1
     33,7502	   0,0258685	105,0
     33,7522	   0,0256442	103,8
     33,7542	   0,0260328	105,0
     33,7561	   0,0257451	104,2
     33,7581	   0,0259869	104,4
       33,76	   0,0257587	104,4
      33,762	   0,0262459	104,9
     33,7639	   0,0258805	103,5
     33,7659	   0,0261753	104,6
     33,7678	   0,0263536	104,6
     33,7698	   0,0260569	105,0
     33,7718	   0,0260385	105,5
     33,7737	   0,0262425	105,8
     33,7757	   0,0260433	105,7
     33,7776	   0,0261816	105,6
     33,7796	   0,0262934	106,3
     33,7815	   0,0263182	106,4
     33,7835	   0,0264087	106,3
     33,7854	   0,0267099	106,1
     33,7874	   0,0268417	106,2
     33,7893	   0,0266023	106,5
     33,7913	   0,0265726	106,6
     33,7933	   0,0265742	106,8
     33,7952	   0,0269689	107,0
     33,7972	   0,0267019	106,9
     33,7991	   0,0269565	107,5
     33,8011	   0,0268647	107,8
      33,803	   0,0268914	107,7
      33,805	   0,0269046	107,3
     33,8069	   0,0269222	107,6
     33,8089	   0,0268413	107,1
     33,8109	   0,0270592	108,1
     33,8128	   0,0269447	107,7
     33,8148	   0,0270716	107,8
     33,8167	   0,0271058	108,5
     33,8187	   0,0269696	108,3
     33,8206	   0,0271895	108,8
     33,8226	   0,0274093	109,0
     33,8245	   0,0273215	108,4
     33,8265	   0,0273966	108,6
     33,8284	   0,0276439	109,1
     33,8304	   0,0275439	109,4
     33,8324	   0,0273662	108,9
     33,8343	   0,0273776	109,4
     33,8363	   0,0274748	109,6
     33,8382	   0,0277881	110,4
     33,8402	   0,0274814	110,4
     33,8421	   0,0278503	110,0
     33,8441	   0,0278778	111,0
      33,846	   0,0277571	110,2
      33,848	   0,0278655	110,7
       33,85	    0,027585	110,8
     33,8519	   0,0277154	110,6
     33,8539	   0,0277471	110,9
     33,8558	   0,0279591	111,7
     33,8578	   0,0278737	111,7
     33,8597	   0,0279167	111,6
     33,8617	   0,0279026	111,9
     33,8636	   0,0278331	111,9
     33,8656	   0,0281735	111,6
     33,8675	   0,0279234	111,7
     33,8695	    0,027985	111,0
     33,8715	   0,0283961	111,8
